Fon Kodu,Risk Değeri,Fon Getiri (%),Fon Volatilite (%),Ölçüt Getiri (%),Ölçüt Volatilite (%),Negatif Gün Sayısı,Negatif Gün Oranı (%),Sharpe,Düzeltilmiş Sharpe,Beta,Alpha,Treynor,Sortino,RMD% (1 hafta),Downside Risk,Değişim Katsayısı
CHN,5,12.2783,13.4401,55.3068,1.6678,111,44.76,0.8703,0.7258,-0.1847,0.0794,-63.3380,1.1234,4.4042,9.6860,1.1491
CHO,6,9.4050,16.4841,56.0759,8.4621,121,48.79,0.5585,0.4347,-0.0290,0.0418,0.0000,0.6974,5.4016,12.2054,1.7905
CHS,4,24.8424,9.0127,26.5870,6.2815,109,43.95,2.4509,-0.4618,1.2207,-0.0269,18.0950,2.9323,2.9534,6.1880,0.4080
CHT,5,15.2760,13.5133,11.1490,11.6856,121,48.79,1.0199,0.6112,1.1117,0.0093,12.3983,1.2973,4.4281,9.5501,0.9805
CHU,4,20.4459,8.2251,55.3076,8.4648,106,42.74,2.2652,-0.0274,0.0176,0.0708,0.0000,2.7290,2.6952,5.6526,0.4415
DAH,6,-10.0665,30.2761,-1.2713,21.7339,126,50.81,-0.2829,-0.3056,1.3420,-0.0276,-6.3817,-0.3491,9.9211,23.2960,-3.5351
DAI,6,32.0542,5.5545,24.2836,4.5531,27,10.89,4.9727,-8.8741,0.8103,0.0389,34.0874,5.6820,1.8201,2.1117,0.2011
DAT,6,31.3364,5.4612,24.2836,4.5531,35,14.11,4.9107,-6.1235,0.7722,0.0390,34.7295,8.3447,1.7895,1.6953,0.2036
DBA,6,74.0918,18.3546,77.2086,21.0309,105,42.34,3.1467,4.5433,0.7489,0.0526,77.1225,5.4429,6.0146,10.6179,0.3178
DBB,3,34.1866,6.1935,50.7656,2.8035,74,29.84,4.8805,-9.6751,1.3325,-0.0992,22.6842,4.8353,2.0295,4.0145,0.2049
DBG,7,35.4342,18.2913,29.3778,6.1882,58,23.39,1.6477,1.4358,0.8838,0.0281,34.1011,1.7625,5.9938,11.5603,0.6069
DBH,6,31.8345,5.9183,28.1108,5.5558,67,27.02,4.7289,-1.8328,0.9822,0.0134,28.4926,5.4656,1.9393,3.4350,0.2115
DBK,1,57.0794,1.8007,53.6549,1.3641,1,0.40,25.6526,230.0209,0.1206,0.1625,0.0000,,0.5901,0.0682,0.0390
DBP,6,21.8666,9.7673,53.0027,1.6815,100,40.32,1.9357,0.0744,0.2999,0.0233,63.0463,2.0781,3.2006,7.1611,0.5166
DBZ,2,56.1633,1.7257,58.6176,1.7938,1,0.40,26.4126,253.1142,0.0167,0.1778,0.0000,,0.5655,0.0086,0.0379
DDC,6,67.6154,32.3317,53.0027,8.4731,55,22.18,1.6009,1.5651,-0.0209,0.2090,0.0000,1.8073,10.5947,21.5025,0.6246
DDE,5,30.0979,7.3699,24.2836,4.5531,43,17.34,3.6402,3.2572,0.7874,0.0377,34.0703,4.9942,2.4150,3.4377,0.2747
DDF,5,108.1470,36.9981,53.0027,8.4731,60,24.19,2.1505,-1.8550,-0.0135,0.3181,0.0000,2.8115,12.1238,16.9348,0.4650
DDS,6,-33.3333,80.1702,88.7157,12.7096,50,20.16,-0.1957,-0.3156,0.3801,-0.1614,-41.2707,-0.5182,26.2707,36.1622,-5.1111
DGH,1,57.8785,1.7930,50.1632,1.6162,0,0.00,26.0528,250.5549,1.1004,0.0038,42.4491,,0.5875,0.0000,0.0384
DJA,7,-30.8128,27.6559,-30.5198,27.8079,128,51.61,-1.3409,-1.6221,0.9944,-0.0026,-37.2937,-1.7518,9.0625,22.1438,-0.7458
DLY,1,58.3069,1.9141,55.1742,1.1643,1,0.40,24.5469,212.1430,1.3488,-0.0527,34.8356,,0.6272,0.0240,0.0407
DPB,6,37.3788,5.1511,23.0478,4.5471,60,24.19,6.2596,-18.9611,0.8061,0.0608,39.9975,7.4585,1.6879,2.5790,0.1598
DPC,5,32.9191,5.4290,24.2836,4.5531,29,11.69,5.2056,-9.0309,0.7907,0.0431,35.7415,7.5082,1.7790,1.7196,0.1921
DPE,5,31.8858,6.1166,24.2836,4.5531,36,14.52,4.4881,-1.9194,0.7631,0.0423,35.9740,4.5682,2.0043,2.8790,0.2228
DPG,5,35.5951,5.0294,24.2836,4.5531,23,9.27,5.9835,2.6485,0.5806,0.0687,51.8297,6.0508,1.6481,1.9508,0.1671
DPK,1,49.7487,1.6825,28.7146,3.1086,1,0.40,24.5357,146.6521,-0.1169,0.1756,0.0000,,0.5513,0.3149,0.0408
DPL,6,33.2832,5.8502,24.2154,4.5621,44,17.81,4.8878,-6.2407,0.8002,0.0435,35.7369,7.1861,1.9170,2.0331,0.2046
DPN,5,14.2342,6.0437,24.2836,4.5531,49,19.76,2.1210,-2.0947,0.9052,-0.0282,14.1606,2.3396,1.9805,3.0636,0.4715
DPP,5,21.2190,38.3962,24.2836,4.5531,64,25.81,0.6480,0.5389,-0.0143,0.1000,0.0000,0.6017,12.5819,27.2766,1.5433
DPT,6,-15.6709,28.5455,-12.5703,27.1952,130,52.42,-0.5624,-0.6177,1.0486,-0.0104,-15.3090,-0.7678,9.3540,21.2143,-1.7781
DPZ,5,33.2901,5.9096,24.2836,4.5531,35,14.11,4.8455,-9.1897,0.8614,0.0384,33.2443,6.5493,1.9365,2.0212,0.2064
DSD,6,38.0718,8.1870,32.4679,8.7540,101,40.73,4.0089,5.5197,0.8961,0.0285,36.6279,8.5754,2.6828,3.7918,0.2494
DSP,4,32.2510,7.2178,53.0027,1.6815,87,35.08,3.8495,1.4025,0.4175,0.0382,66.5539,4.7105,2.3652,4.6682,0.2598
DZE,6,-9.6931,25.1308,-6.0020,24.0490,125,50.40,-0.3894,-0.4288,1.0442,-0.0144,-9.3730,-0.5055,8.2351,19.0297,-2.5677
EBD,5,27.2988,8.6046,61.3170,1.9014,101,40.73,2.7592,-0.8879,-0.2322,0.1393,0.0000,3.2398,2.8196,5.9596,0.3624
EC2,7,12.3863,27.7999,-6.0020,24.0490,120,48.39,0.5121,0.4799,1.0521,0.0811,13.5301,0.6824,9.1097,20.0767,1.9529
ECA,6,16.1549,14.2333,17.6959,13.1012,115,46.37,1.0085,0.6062,1.0497,-0.0101,13.6735,1.2327,4.6641,10.2798,0.9916
ECB,1,57.2959,1.8096,56.9746,1.2962,0,0.00,25.6023,244.8778,1.1445,-0.0245,40.4822,,0.5930,0.0000,0.0391
ECV,2,52.0066,1.9732,52.7285,1.5357,5,2.02,21.7080,3.1878,0.3867,0.1043,0.0000,12.3426,0.6466,0.5771,0.0461
EHG,4,17.5741,12.6751,53.0027,1.6815,108,43.55,1.2999,0.7025,-0.0367,0.0717,0.0000,1.5298,4.1535,9.2290,0.7693
EIB,3,46.4706,4.6925,53.0027,1.6815,61,24.60,8.3840,-17.4429,1.3891,-0.0836,28.3219,14.8703,1.5377,1.7534,0.1193
EIC,3,40.9039,5.0498,53.0027,1.6815,78,31.45,6.9635,2.5704,1.3754,-0.0978,25.5667,9.5955,1.6548,2.7108,0.1436
EID,6,-3.3023,22.8116,-4.9819,22.7820,115,46.37,-0.1387,-0.1460,0.9598,0.0064,-3.2955,-0.1645,7.4751,17.6702,-7.2121
EIE,7,4.4384,17.5859,53.0027,1.6815,119,47.98,0.2361,0.2199,-0.3908,0.0839,-10.6241,0.3022,5.7627,13.0892,4.2354
EIF,5,34.2535,6.4243,39.0305,6.2889,94,37.90,4.6677,-2.6777,0.9423,-0.0062,31.8224,9.3862,2.1052,2.8422,0.2142
EIG,4,30.1367,6.9520,31.6469,5.5666,66,26.61,3.8886,-8.1768,1.0672,-0.0106,25.3309,3.2946,2.2781,4.9293,0.2572
EIH,6,2.3975,25.5415,-3.1978,22.7789,124,50.00,0.1411,0.1371,1.1016,0.0277,3.2722,0.1869,8.3696,18.7446,7.0860
EIK,4,28.5552,5.5025,31.5543,5.0290,71,28.63,4.6529,-7.3680,1.0511,-0.0143,24.3590,5.3452,1.8031,3.1579,0.2149
EIL,2,59.1822,1.8513,61.3170,1.9014,1,0.40,25.6868,240.8076,0.9644,0.0015,49.3104,,0.6066,0.0339,0.0389
EKF,3,54.2723,1.7318,25.9770,3.3776,0,0.00,25.5990,246.7636,-0.1072,0.1858,0.0000,,0.5675,0.0000,0.0391
ELZ,6,5.5715,21.4214,4.2773,21.1017,114,45.97,0.2758,0.2431,0.9847,0.0069,6.0008,0.3206,7.0195,16.5403,3.6252
EST,4,19.8657,10.3567,27.3959,6.3255,110,44.35,1.7767,0.5730,1.4586,-0.0675,12.6148,2.2242,3.3937,7.0939,0.5628
FEA,3,54.6785,1.6371,60.0392,1.6172,0,0.00,27.2179,260.8774,0.0658,0.1644,0.0000,,0.5365,0.0000,0.0367
FEF,7,7.3560,16.2442,53.0027,8.4731,120,48.39,0.4584,0.3927,-0.0062,0.0306,0.0000,0.5757,5.3230,12.1404,2.1817
FEI,5,13.5465,12.6463,11.1490,11.6856,116,46.77,0.9903,0.7555,1.0382,0.0073,12.0634,1.2632,4.1440,9.0340,1.0098
FEN,4,18.0443,8.7477,29.9460,5.6872,102,41.13,1.8869,0.1041,1.2695,-0.0672,13.0017,2.1075,2.8665,6.2315,0.5300
FEO,6,21.8697,8.9537,,,105,42.34,2.1998,1.6462,,,,2.8686,2.9340,6.1065,0.4546
FER,6,15.1707,16.2526,53.0027,1.6815,114,45.97,0.8824,0.5367,-0.3063,0.1098,-46.8259,1.0876,5.3258,11.8817,1.1333
FES,4,40.7629,4.0132,53.0027,1.6815,61,24.60,8.6272,-32.0888,0.6777,0.0204,51.0923,8.6682,1.3151,2.3160,0.1159
FET,1,57.1536,1.8448,54.0244,1.4443,1,0.40,25.0634,225.5043,0.8912,0.0282,51.8842,,0.6045,0.0356,0.0399
FFO,6,25.7349,5.4781,,,34,13.71,4.0587,1.1583,,,,4.7379,1.7951,2.1131,0.2464
FGA,6,73.9858,16.5965,,,97,39.11,3.3883,4.2529,,,,5.1388,5.4384,10.0144,0.2951
FGF,3,24.6587,7.2852,55.3076,8.4648,94,37.90,3.0663,-1.4689,0.0202,0.0850,0.0000,3.5331,2.3873,4.9017,0.3261
FGH,3,26.2528,7.7122,42.8475,1.3285,71,28.63,3.0817,-7.7896,0.7014,-0.0071,33.8831,3.0890,2.5272,4.8227,0.3245
FGS,7,48.8913,26.8635,,,104,41.94,1.4300,1.3416,,,,1.8999,8.8028,18.8903,0.6993
FI3,3,32.8076,6.3157,40.7127,4.5754,72,29.03,4.6106,-13.2617,1.2248,-0.0527,23.7736,4.0932,2.0696,4.3816,0.2169
FI5,1,57.9860,1.8785,58.3948,1.3510,0,0.00,24.9027,224.3764,1.2802,-0.0524,36.5403,,0.6156,0.0000,0.0402
FIB,6,79.7661,19.0719,71.9080,19.7854,99,39.92,3.1706,4.1216,0.8852,0.0433,68.3079,5.0104,6.2496,11.3256,0.3154
FIC,5,13.9018,21.6975,57.6126,8.4570,114,45.97,0.6319,0.5798,-0.0008,0.0545,0.0000,0.8309,7.1100,15.6902,1.5826
FID,7,1.1911,17.4848,61.3170,1.9014,123,49.60,0.0468,0.0465,-0.2937,0.0603,-2.7856,0.0628,5.7295,12.8884,21.3705
FIE,1,54.6549,3.3990,50.8745,5.1216,2,0.81,13.1312,-393.9672,0.0929,0.1617,0.0000,2.3295,1.1138,1.7563,0.0762
FIF,5,52.9687,7.2846,61.3170,1.9014,63,25.40,5.9159,-16.8453,0.0707,0.1573,0.0000,5.1949,2.3871,4.8820,0.1690
FIG,3,40.3136,7.7838,55.3076,8.4648,93,37.50,4.3579,5.1261,0.0307,0.1291,0.0000,7.2501,2.5506,4.5460,0.2295
FIH,4,16.1330,16.2048,56.0759,8.4621,111,44.76,0.9121,0.6311,-0.0259,0.0634,0.0000,1.1236,5.3101,11.7190,1.0964
FII,2,19.2953,10.2643,17.5927,8.3190,102,41.13,1.7157,0.7883,1.0925,0.0013,16.1197,2.0682,3.3635,7.4161,0.5828
FIK,3,30.7208,5.1118,53.0027,8.4731,76,30.65,5.2251,-6.5965,0.0140,0.1036,0.0000,5.5900,1.6751,3.3456,0.1914
FIL,1,58.4294,1.9318,56.2643,1.2876,1,0.40,24.3646,210.1594,1.1003,-0.0111,42.7777,,0.6330,0.0269,0.0410
FIM,6,42.2539,3.4031,40.7276,1.3420,53,21.37,10.5038,6.2373,1.0452,-0.0031,34.1995,14.0844,1.1151,1.4714,0.0952
FIR,6,40.7241,7.5323,40.3604,8.6257,95,38.31,4.5125,5.6590,0.6486,0.0485,52.4075,7.3748,2.4682,4.3563,0.2216
FIS,4,27.3345,6.4265,22.6730,5.0759,81,32.66,3.7941,0.0533,0.8827,0.0258,27.6214,4.2809,2.1059,4.3355,0.2636
FIT,2,23.9772,10.5972,59.0071,2.2882,82,33.06,2.1244,-1.3570,1.5481,-0.1984,14.5424,1.9684,3.4726,7.5783,0.4707
FIU,5,20.6027,14.3019,44.9675,1.3175,105,42.34,1.3127,0.5844,0.1398,0.0535,0.0000,1.5470,4.6865,10.4993,0.7618
FIV,7,24.6768,11.9725,43.5542,1.3245,102,41.13,1.8388,0.7838,0.3209,0.0403,68.5956,2.2365,3.9232,8.5367,0.5438
FIY,1,55.0974,1.7267,35.4042,1.5752,0,0.00,25.9940,251.1234,0.0764,0.1688,0.0000,,0.5658,0.0000,0.0385
FIZ,4,46.6219,3.1281,54.5393,8.4675,35,14.11,12.3077,-44.9583,-0.0027,0.1533,0.0000,11.2046,1.0250,1.5319,0.0812
FNO,4,40.9497,5.3494,53.0027,1.6815,82,33.06,6.5006,9.1840,0.0496,0.1294,0.0000,10.5246,1.7529,2.7441,0.1538
FPE,6,30.4585,5.0917,30.7052,5.4516,67,27.02,5.3199,-17.8273,0.9015,0.0104,30.0470,6.4295,1.6685,2.6415,0.1880
FPH,6,-3.5265,24.8584,-6.0827,25.4665,124,50.00,-0.1203,-0.1236,0.9640,0.0103,-3.1022,-0.1584,8.1458,18.5791,-8.3129
FPK,1,52.7767,1.8814,53.1849,1.5596,6,2.42,23.0416,170.2007,0.1262,0.1504,0.0000,65.1583,0.6165,0.1379,0.0434
FPR,,11.7356,22.7696,-8.7889,25.3198,118,47.58,0.5188,0.4398,0.8741,0.0774,13.5152,0.6494,7.4613,16.8614,1.9274
FPZ,6,26.0323,4.5376,24.9016,4.5562,62,25.00,5.1641,-80.0314,0.9916,0.0044,23.6305,13.7877,1.4869,1.2133,0.1936
FRA,6,-6.8924,15.9846,54.5393,8.4675,74,29.84,-0.3774,-0.4310,-0.0224,-0.0200,0.0000,-0.3482,5.2379,12.2424,-2.6499
FRZ,6,-0.6562,15.3366,54.5393,8.4675,70,28.23,0.0331,0.0326,-0.0445,0.0099,-11.4166,0.0301,5.0256,11.6565,30.1795
FSF,2,59.0063,1.8387,55.3076,8.4648,0,0.00,25.7972,249.0851,0.0541,0.1785,0.0000,,0.6025,0.0000,0.0388
FUB,6,29.7008,5.5375,32.2910,5.5513,73,29.44,4.7877,-3.5517,0.9254,0.0010,28.6475,5.5135,1.8146,3.3411,0.2089
FUP,6,18.5135,9.7230,,,83,33.47,1.8043,-8.7371,,,,1.3765,3.1861,7.9640,0.5542
FUS,6,19.7461,4.5455,,,93,37.50,3.9854,-24.8851,,,,10.5256,1.4895,1.5647,0.2509
FVS,6,10.7899,3.3817,,,39,32.23,6.2034,9.4598,,,,9.8271,1.1081,1.6682,0.1612
FYA,6,43.4986,16.7493,53.0027,8.4731,99,39.92,2.1736,1.6756,0.0214,0.1408,0.0000,2.9567,5.4885,10.2984,0.4601
FYB,5,38.5482,9.0165,23.0478,4.5471,49,19.76,3.7516,3.3140,0.1429,0.1223,0.0000,3.9805,2.9546,5.0597,0.2666
FYD,6,-8.2262,24.8945,-3.1464,22.7787,128,51.61,-0.3450,-0.3814,1.0594,-0.0214,-8.1065,-0.4492,8.1576,18.8110,-2.8987
FYG,5,30.8024,4.9305,23.0478,4.5471,49,19.76,5.6062,-35.3870,0.8179,0.0416,33.7972,11.7120,1.6157,1.3177,0.1784
FYH,5,29.2399,12.1088,23.0478,4.5471,50,20.16,2.2313,1.0953,0.5954,0.0576,45.3794,2.0598,3.9679,7.5207,0.4482
FYI,7,21.0292,27.6943,53.0027,8.4731,81,32.66,0.8445,0.7515,-0.0144,0.0953,0.0000,1.0121,9.0750,18.8748,1.1841
FYL,4,19.2896,10.6458,17.5927,8.3190,108,43.55,1.6505,0.7490,1.1826,-0.0045,14.8578,2.0185,3.4885,7.6122,0.6059
FYM,5,32.4187,5.5723,,,35,14.11,5.1926,-0.1861,,,,7.1636,1.8260,1.8821,0.1926
FYN,3,23.1087,6.8996,21.9429,5.1249,94,37.90,3.0199,0.7177,1.0992,-0.0031,18.9555,3.6584,2.2609,4.6848,0.3311
FYO,1,55.4124,1.7871,55.0405,1.3698,0,0.00,25.2333,235.5863,-0.0690,0.1911,0.0000,,0.5856,0.0000,0.0396
FYT,1,49.9251,2.0187,52.3700,1.5957,8,3.23,20.5185,5.3538,0.2759,0.1178,0.0000,14.7815,0.6615,0.6351,0.0487
FYU,3,23.9233,6.8024,21.9429,5.1249,94,37.90,3.1503,1.2027,1.0890,0.0001,19.6785,3.9151,2.2290,4.5673,0.3174
FYY,3,19.8292,10.2282,17.5927,8.3190,107,43.15,1.7692,0.6786,1.1397,0.0002,15.8777,2.1937,3.3516,7.2628,0.5652
GA1,2,36.3310,5.2773,56.8558,1.8024,48,19.35,6.0255,-30.8346,0.8560,-0.0283,37.1454,4.2362,1.7293,3.7425,0.1660
GAE,6,-5.5061,25.6324,-4.0169,25.4579,121,48.79,-0.1998,-0.2078,1.0058,-0.0061,-5.0923,-0.2658,8.3994,19.0530,-5.0047
GAF,6,-1.5072,25.5071,-7.8818,24.0530,122,49.19,-0.0065,-0.0065,1.0259,0.0318,-0.1610,-0.0088,8.3583,18.7154,-154.4427
GAG,6,25.9676,4.6763,23.0478,4.5471,62,25.00,5.0016,-66.4746,0.9882,0.0105,23.6687,10.7557,1.5324,1.4505,0.1999
GAH,3,43.1960,5.7033,52.8146,8.4902,78,31.45,6.2969,4.7862,0.0197,0.1391,0.0000,8.8075,1.8689,3.0481,0.1588
GAK,4,17.6325,10.7170,22.4234,7.8171,95,39.75,1.5678,1.3385,1.0081,-0.0158,16.6676,1.9018,3.5118,7.5219,0.6378
GAL,1,57.8591,1.8924,54.7890,1.2462,1,0.40,24.6750,214.0632,1.3164,-0.0470,35.4711,,0.6201,0.0940,0.0405
GAN,7,35.9302,34.3648,53.0027,8.4731,122,49.19,1.0584,1.2129,-0.3193,0.1999,0.0000,1.7412,11.2609,21.2895,0.9448
GAS,6,28.0457,4.3803,23.0478,4.5471,62,25.00,5.7360,-77.1695,0.9299,0.0222,27.0179,12.6226,1.4354,1.3203,0.1743
GBC,6,18.5867,19.3914,,,100,40.32,0.8849,0.7666,,,,1.0041,6.3543,14.7398,1.1301
GBG,6,25.9540,22.1480,,,102,41.13,1.1377,1.0013,,,,1.4695,7.2576,14.4254,0.8790
GBL,1,57.2388,1.8610,47.3906,2.5334,1,0.40,24.8738,219.1575,0.0378,0.1778,0.0000,,0.6098,0.0565,0.0402
GBN,2,58.8600,1.8306,61.3170,1.9014,0,0.00,25.8654,250.1877,0.9619,0.0012,49.2217,,0.5999,0.0000,0.0387
GCK,3,25.5651,5.3035,42.8475,1.3285,88,35.48,4.2509,0.2963,0.4619,0.0227,48.8040,5.2889,1.7379,3.4072,0.2352
GCS,4,22.7037,7.7656,55.3076,8.4648,107,43.15,2.6456,-0.7394,0.0205,0.0778,0.0000,3.1928,2.5447,5.2286,0.3780
GCV,2,57.2658,1.9405,52.2392,5.1435,4,1.61,23.8612,164.2002,0.1008,0.1666,0.0000,28.5390,0.6359,0.2347,0.0419
GDV,1,54.0330,1.7067,35.5183,1.2877,0,0.00,25.8813,247.8327,0.6961,0.0897,63.4535,,0.5593,0.0000,0.0386
GEA,5,13.0572,14.0522,18.3863,13.4288,115,46.37,0.8481,0.7285,1.0054,-0.0183,11.8537,1.0935,4.6047,10.1689,1.1791
GED,6,-2.5352,24.9791,-1.4235,23.5007,122,49.19,-0.0830,-0.0844,1.0530,-0.0036,-1.9690,-0.1118,8.1853,18.4733,-12.0481
GEF,5,13.1915,16.8082,61.3170,1.9014,125,50.40,0.7369,0.5730,-0.4217,0.1310,-29.3699,0.9441,5.5078,12.1566,1.3570
GEG,6,-0.2920,24.5087,-3.1464,22.7787,126,50.81,0.0148,0.0148,1.0628,0.0142,0.3421,0.0198,8.0312,18.0529,67.4065
GEH,6,-1.7398,24.5942,-3.1464,22.7787,126,50.81,-0.0462,-0.0466,1.0662,0.0082,-1.0647,-0.0617,8.0592,18.1703,-21.6646
GEK,3,36.6262,5.7023,32.2778,5.5467,72,29.03,5.5822,-1.3746,0.8520,0.0304,37.3585,6.3663,1.8686,3.4074,0.1791
GEL,2,58.5878,1.9371,55.5417,1.4422,2,0.81,24.3468,196.9888,1.0482,0.0002,44.9941,26.7619,0.6348,0.1692,0.0411
GES,3,22.8916,7.1036,22.4016,5.1309,96,38.71,2.9253,0.4300,1.1079,-0.0057,18.7567,3.5317,2.3278,4.8734,0.3418
GEU,5,35.7490,3.1417,29.9670,3.4059,30,12.10,9.8878,-265.9432,0.9059,0.0276,34.2913,21.0661,1.0295,0.6353,0.1011
GHA,6,84.1284,16.6557,76.0033,21.0294,98,39.52,3.7375,4.7705,0.5904,0.1094,0.0000,5.8603,5.4579,9.7257,0.2676
GHD,4,21.2632,9.6874,20.4010,8.0392,107,43.15,2.0162,0.7061,1.1448,-0.0062,17.0610,2.5131,3.1744,6.6359,0.4960
GHE,5,12.0331,16.7431,61.3170,1.9014,124,50.00,0.6762,0.5426,-0.4486,0.1320,-25.2408,0.8664,5.4865,12.1313,1.4788
GHF,3,37.5995,5.6149,32.2778,5.5467,72,29.03,5.7824,-2.3639,0.8467,0.0335,38.3448,6.5720,1.8399,3.3421,0.1729
GHG,6,33.2684,5.1187,35.0965,5.3551,78,31.45,5.7177,-4.8138,0.9194,0.0049,31.8337,8.4300,1.6773,2.5523,0.1749
GHH,6,9.3498,17.2597,,,119,47.98,0.4968,0.4865,,,,0.6868,5.6558,12.2155,2.0130
GHI,5,13.1150,13.9689,11.1490,11.6856,120,48.39,0.8808,0.5760,1.1653,0.0013,10.5590,1.1104,4.5774,9.9847,1.1353
GHJ,6,0.8407,24.1107,57.6126,8.4570,127,51.21,0.0635,0.0628,-0.0261,0.0109,-58.5924,0.0848,7.9008,17.7529,15.7542
GHK,6,33.7144,5.1384,35.0965,5.3551,78,31.45,5.7607,-5.4133,0.9240,0.0056,32.0342,8.6262,1.6838,2.5221,0.1736
GHL,3,20.1303,10.4215,18.0863,8.3178,107,43.15,1.7617,0.7219,1.1683,-0.0025,15.7142,2.1735,3.4150,7.4024,0.5676
GHM,5,9.7623,17.4023,56.0759,8.4621,121,48.79,0.5397,0.4554,-0.0077,0.0387,0.0000,0.6931,5.7025,12.6799,1.8530
GHN,4,24.0598,12.4217,55.3076,8.4648,111,44.76,1.7387,1.2364,-0.0077,0.0871,0.0000,2.3154,4.0704,8.4943,0.5751
GHO,6,43.7635,11.4814,,,84,33.87,3.1908,2.6762,,,,4.1878,3.7623,7.3052,0.3134
GHP,2,50.2468,3.1773,54.5393,8.4675,39,15.73,13.0237,-3.9939,0.0409,0.1569,0.0000,14.5883,1.0411,1.3257,0.0768
GHS,6,-2.8520,25.0116,-3.1464,22.7787,123,49.60,-0.0839,-0.0857,1.0846,0.0046,-1.9351,-0.1097,8.1960,18.6333,-11.9172
GHT,4,34.1030,9.0174,52.0647,4.0886,98,39.52,3.1809,2.1229,0.8160,-0.0249,35.1512,4.2017,2.9549,5.5478,0.3144
GHU,5,13.8313,17.0124,44.9675,1.3175,111,44.76,0.7722,0.5748,-0.0205,0.0552,0.0000,0.9544,5.5747,12.5240,1.2950
GHV,3,30.0606,8.8266,42.8475,1.3285,72,29.03,3.0035,1.7113,1.0325,-0.0441,25.6758,3.7672,2.8924,5.9333,0.3329
GHY,5,18.4630,14.0369,43.5542,1.3245,109,43.95,1.2160,0.8196,0.2266,0.0345,75.3183,1.5128,4.5997,10.1785,0.8223
GHZ,2,43.2301,1.9019,42.1409,1.3327,15,6.05,19.2989,80.9666,1.1731,-0.0217,31.2900,27.2800,0.6232,0.3870,0.0518
GKB,2,36.9924,2.6020,32.7986,2.4069,21,8.47,12.3153,-50.2250,-0.0525,0.1331,0.0000,8.5490,0.8526,1.3431,0.0812
GKF,5,15.4071,21.3085,22.9770,11.7099,109,43.95,0.6702,0.3859,1.5970,-0.0737,8.9422,0.7530,6.9825,16.2572,1.4921
GKS,6,18.5850,9.7203,51.6488,8.6120,86,35.98,1.8363,-0.9542,-0.0122,0.0730,0.0000,1.7857,3.1852,7.4060,0.5446
GME,5,41.2813,8.4028,29.3778,6.1882,84,33.87,4.1546,3.2440,0.7908,0.0567,44.1433,5.6055,2.7535,4.8954,0.2407
GMR,6,-19.0812,25.4775,-0.0709,21.8645,122,49.19,-0.7853,-1.0024,1.1156,-0.0800,-17.9347,-0.9566,8.3486,20.2801,-1.2734
GPA,6,30.0110,5.4605,32.8517,5.4524,69,27.82,4.9198,-2.4395,0.9321,0.0001,28.8225,5.5230,1.7893,3.2246,0.2033
GPC,6,29.5460,5.5564,29.3778,6.1882,74,29.84,4.7630,-7.3471,0.8458,0.0175,31.2887,6.0363,1.8208,2.9966,0.2100
GPF,4,40.4398,7.0691,40.7276,1.3420,70,28.23,4.8004,-0.3576,0.9280,0.0060,36.5671,5.2685,2.3165,4.5100,0.2083
GPG,5,29.0789,20.3124,45.7703,2.8820,112,45.16,1.3476,1.2157,1.0284,-0.0487,26.6176,1.8653,6.6561,13.9158,0.7421
GPL,6,24.3712,4.5472,23.0478,4.5470,65,26.21,4.8574,-72.1479,0.9999,0.0044,22.0901,13.0220,1.4901,1.2257,0.2059
GRA,6,76.2455,15.2742,75.0404,25.2957,105,42.34,3.7671,5.7427,0.2396,0.1716,0.0000,6.6402,5.0052,8.5221,0.2655
GSE,4,26.5669,4.2736,23.0478,4.5471,29,11.69,5.6712,-32.3522,0.6599,0.0412,36.7280,14.7393,1.4004,0.7641,0.1763
GSG,5,30.1036,5.2583,23.0478,4.5471,31,12.50,5.1554,-14.6343,0.7457,0.0454,36.3514,7.5177,1.7231,1.6199,0.1940
GSM,7,19.6164,17.9712,50.2104,1.6323,105,43.93,1.0739,0.4028,-0.8486,0.2220,-22.7410,1.2304,5.8889,13.2367,0.9312
GSO,3,54.9878,4.7091,52.8146,8.4902,8,3.23,9.5636,33.1293,0.1160,0.1586,0.0000,21.4592,1.5431,0.5760,0.1046
GTA,6,70.3263,18.6425,77.2086,21.0309,102,41.13,2.9443,3.8815,0.7778,0.0344,70.5703,4.7385,6.1089,11.2009,0.3396
GTL,1,58.2203,1.8850,54.7890,1.2462,1,0.40,24.8936,219.0436,1.3185,-0.0464,35.5889,,0.6177,0.0975,0.0402
GYK,2,49.4680,2.3181,59.1605,1.8114,16,6.45,17.6387,42.9513,0.4407,0.0801,92.7709,24.8442,0.7596,0.5481,0.0567
GYL,1,51.0242,1.7788,53.6549,1.3641,3,1.21,23.7024,182.5566,0.1211,0.1464,0.0000,0.0000,0.5829,0.1117,0.0422
HBF,6,79.3419,17.3710,77.2086,21.0309,98,39.52,3.4498,4.2774,0.7625,0.0580,78.5890,5.3033,5.6923,10.3058,0.2899
HBU,7,-6.0166,26.9406,-6.7784,26.8050,121,48.79,-0.2026,-0.2121,1.0048,0.0036,-5.4320,-0.2679,8.8281,20.0623,-4.9359
HDH,7,91.8240,50.9205,53.0027,8.4731,117,47.18,1.5358,1.9135,0.0708,0.2980,0.0000,2.6403,16.6860,30.4082,0.6511
