FONKODU,FONGETIRI,FONVOLATILITE,OLCUTGETIRI,OLCUTVOLATILITE,SHARPE,DSHARPE,BETA,ALPHA,TREYNOR,SORTINO,RMD,DOWNSIDERISK,DEGISIMKATSAYISI,RISKDEGERI
BPF,27.9668,9.7804,32.0736,5.5309,2.6225,-0.4198,1.5113,-0.0694,16.9718,2.9074,3.2049,6.4956,0.3813,4
BPG,26.1071,9.3265,33.4657,5.1885,2.5852,-0.9112,1.6625,-0.0996,14.5028,2.7974,3.0562,6.3575,0.3868,4
BPH,0.1769,25.6505,3.6765,22.8384,0.1362,0.1317,1.0832,-0.0133,3.2243,0.1777,8.4053,19.0704,7.3445,7
BPI,7.3371,23.7079,58.146,8.4561,0.4241,0.3733,-0.0055,0.0409,0,0.5436,7.7688,17.4563,2.3582,6
BPJ,21.7827,16.1806,55.8457,8.4639,1.3241,0.811,-0.0025,0.0855,0,1.6811,5.3022,11.409,0.7552,4
BPK,31.8276,3.6761,33.1576,4.2957,7.6914,-44.1517,0.8137,0.0175,34.7472,10.5287,1.2046,1.5351,0.13,6
BPL,59.2276,2.0468,56.2684,1.5473,23.219,171.1655,1.0427,-0.0001,45.5757,0,0.6707,0.0956,0.0431,2
BPN,16.1725,19.2451,56.6125,8.4613,0.8915,0.6445,-0.0103,0.07,0,1.1392,6.3064,13.8082,1.1217,5
BPO,24.1525,16.4273,43.9351,1.3797,1.4265,0.9945,0.2034,0.063,0,1.8366,5.383,11.652,0.701,5
BPR,41.1627,4.2026,55.0789,8.4667,8.3959,-21.8097,0.0302,0.1346,0,8.4445,1.3772,2.413,0.1191,2
BPS,21.0144,18.2133,45.3444,1.3727,1.1602,0.8417,0.2053,0.0527,0,1.4763,5.9683,13.129,0.8619,6
BPU,31.1275,5.2988,32.1114,5.5535,5.2471,-4.6758,0.8661,0.0121,32.1035,5.6081,1.7364,3.2587,0.1906,6
CFA,80.0417,16.4269,74.8523,20.9419,3.738,5.4507,0.6505,0.0907,94.3972,6.3491,5.3829,9.2541,0.2675,6
CFB,57.2134,2.0181,52.5786,5.1482,22.903,155.5952,0.1128,0.164,0,28.8654,0.6613,0.23,0.0437,2
CFC,39.3305,5.3568,32.0782,5.6272,6.3481,-10.1973,0.8093,0.0432,42.0186,6.767,1.7553,3.2101,0.1575,3
CFD,29.9797,4.9784,33.757,4.9479,5.4012,-1.4674,0.9072,-0.0006,29.6393,6.5299,1.6313,2.8066,0.1851,6
CFE,29.7354,6.1866,43.2304,1.3837,4.3262,-2.1619,0.5672,0.0236,47.1845,4.6948,2.0273,4.1523,0.2311,3
CFY,54.1514,1.8057,38.2562,1.1085,24.4827,197.6824,1.0893,0.0325,40.5849,,0.5917,0,0.0408,1
CGE,27.2688,12.0984,55.8449,1.7459,2.095,0.8074,-0.0837,0.1156,0,2.6717,3.9645,8.3823,0.4773,5
CGG,37.3485,5.1247,32.0736,5.5309,6.3476,-14.1303,0.7699,0.0419,42.2499,6.4706,1.6793,3.1088,0.1575,3
CHA,21.7464,12.6174,55.8457,8.4639,1.6548,1.0075,-0.0114,0.0849,0,2.1641,4.1346,8.7758,0.6043,5
CHC,50.7251,2.4903,55.0789,8.4667,16.8354,17.8338,0.048,0.1578,0,18.9104,0.816,0.8431,0.0594,3
CHD,16.975,17.8535,45.3444,1.3727,0.9863,0.4953,-0.0823,0.0824,0,1.114,5.8504,13.6208,1.0139,6
CHG,-2.3861,24.6278,58.146,8.4561,0.0241,0.024,-0.0502,0.0118,-11.8504,0.0305,8.0702,18.6073,41.4081,6
CHH,0.9025,24.7392,2.9085,22.955,0.1616,0.1546,1.0458,-0.0073,3.8217,0.2128,8.1067,18.2045,6.1896,6
CHI,22.2015,14.46,43.9351,1.3797,1.4878,0.7685,0.3488,0.0339,61.6742,1.7884,4.7384,10.6099,0.6722,5
CHK,39.5647,5.3765,32.0736,5.5309,6.3569,-7.6554,0.8286,0.0417,41.2481,6.9685,1.7618,3.1274,0.1573,3
CHL,59.8,2.0493,56.1761,1.5441,23.369,179.6282,1.1299,-0.0141,42.3863,0,0.6715,0.0686,0.0428,2
CHM,17.4324,15.5226,56.6114,1.7418,1.1344,0.6595,-0.0176,0.0731,0,1.4189,5.0866,11.2412,0.8815,6
CHN,16.3734,13.4267,55.8449,1.7459,1.2197,0.9242,-0.1776,0.0969,-92.2298,1.5661,4.3998,9.5705,0.8199,5
CHO,14.5484,16.4591,56.6125,8.4613,0.9249,0.5755,-0.027,0.0654,0,1.1481,5.3934,12.0668,1.0812,6
CHS,28.1714,9.0319,27.2933,6.2547,2.8502,-1.1181,1.2226,-0.0183,21.0551,3.3963,2.9596,6.1321,0.3508,4
CHT,20.1768,13.5492,13.8887,11.6323,1.4523,0.6213,1.1185,0.0162,17.5928,1.8478,4.4399,9.4291,0.6886,5
CHU,22.446,8.2246,55.8457,8.4639,2.5541,-0.4038,0.0189,0.0799,0,3.0512,2.6951,5.6177,0.3915,4
DAH,0.2405,30.0726,5.2371,21.7858,0.1603,0.1526,1.3311,-0.021,3.6218,0.1979,9.8544,22.7948,6.2378,6
DAI,31.311,5.6184,24.2252,4.6086,4.9769,-7.6501,0.7972,0.0406,35.076,5.7523,1.8411,2.1117,0.2009,6
DAT,30.5903,5.57,24.2252,4.6086,4.9187,-4.35,0.7633,0.0413,35.8918,8.525,1.8252,1.6953,0.2033,6
DBA,72.7814,18.2849,74.8523,20.9419,3.1454,4.5295,0.7461,0.0528,77.0854,5.4047,5.9917,10.6079,0.3179,6
DBB,35.2496,6.1799,50.3523,2.8417,5.0188,-10.5664,1.2811,-0.0888,24.211,4.9284,2.0251,4.0017,0.1992,3
DBG,35.4214,18.4134,29.8098,6.1785,1.7726,1.5566,0.9033,0.0334,36.1321,1.8963,6.0338,11.5547,0.5642,7
DBH,32.5702,5.9772,28.4425,5.5532,4.8449,-1.4903,0.9821,0.0147,29.4866,5.6646,1.9586,3.4376,0.2064,6
DBK,57.6851,1.9043,53.4913,1.4278,24.4324,190.8185,0.1248,0.1629,0,87.9913,0.624,0.1343,0.0409,1
DBP,26.9048,10.099,53.5454,1.7595,2.4588,-0.0985,0.3301,0.0412,75.2168,2.7072,3.3093,7.1346,0.4067,6
DBZ,56.9661,1.8252,58.3866,1.8592,25.234,210.2653,0.017,0.1796,0,,0.5981,0.0086,0.0396,2
DDC,64.076,32.1464,53.5454,8.4723,1.7333,1.6857,-0.0121,0.2232,0,1.9385,10.534,21.6376,0.5769,6
DDE,29.7225,7.3555,24.2252,4.6086,3.6477,3.2439,0.7673,0.0387,34.9678,4.965,2.4103,3.5181,0.2741,5
DDF,110.5122,36.9107,53.5454,8.4723,2.2336,-2.1174,-0.0139,0.3296,0,2.8645,12.0952,16.8778,0.4477,5
DDS,-26.087,79.912,89.7178,12.7085,-0.0649,-0.0782,0.3736,-0.1187,-13.8777,-0.1702,26.1861,35.6728,-15.4127,6
DGH,58.2962,1.8708,50.7014,1.686,25.0809,219.9695,1.0998,0.0034,42.664,,0.613,0,0.0399,1
DJA,-25.6093,27.5647,-25.2893,27.7216,-0.9554,-1.1031,0.9942,-0.0025,-26.4893,-1.2512,9.0326,21.7411,-1.0467,7
DLY,58.965,1.9925,55.39,1.2212,23.7666,189.7183,1.3392,-0.0513,35.3586,,0.6529,0.024,0.0421,1
DPB,37.6144,5.1767,22.9966,4.602,6.3223,-18.4994,0.8022,0.0623,40.8001,7.6327,1.6964,2.5856,0.1582,6
DPC,32.1811,5.4961,24.2252,4.6086,5.2091,-7.61,0.778,0.0449,36.7984,7.6061,1.801,1.7352,0.192,5
DPE,31.3525,6.1816,24.2252,4.6086,4.5341,-1.3401,0.7527,0.0448,37.2362,4.6306,2.0256,2.8859,0.2206,5
DPG,34.9545,5.1416,24.2252,4.6086,5.9773,4.0689,0.5769,0.071,53.2709,6.1794,1.6848,1.9508,0.1673,5
DPK,50.3819,1.7664,28.5336,3.1213,23.5936,127.7454,-0.1174,0.1773,0,,0.5788,0.3149,0.0424,1
DPL,32.8562,5.9134,24.157,4.6177,4.9534,-5.3829,0.7885,0.0465,37.1468,7.2243,1.9378,2.0304,0.2019,6
DPN,13.6829,6.0993,24.2252,4.6086,2.1758,-1.9887,0.8897,-0.0259,14.9155,2.4221,1.9987,3.4896,0.4596,5
DPP,24.0945,38.3059,24.2252,4.6086,0.7679,0.6113,0.0181,0.1151,0,0.7031,12.5524,27.209,1.3022,5
DPT,-9.5532,28.608,-6.3864,27.2838,-0.2142,-0.2224,1.0475,-0.0119,-5.85,-0.2912,9.3745,21.0584,-4.6686,6
DPZ,32.4801,5.9609,24.2252,4.6086,4.8461,-8.2159,0.8458,0.04,34.1524,6.6069,1.9533,2.0212,0.2064,5
DSD,35.5145,8.0534,30.0893,8.6384,3.8923,5.0659,0.8926,0.028,35.1169,8.1867,2.639,3.7874,0.2569,6
DSP,34.1451,7.3211,53.5454,1.7595,4.1326,1.5576,0.4464,0.0425,67.782,5.1292,2.399,4.6682,0.242,4
DZE,-2.6326,25.1781,0.9786,24.1109,0.0187,0.0186,1.0435,-0.0144,0.452,0.0243,8.2506,18.813,53.3891,6
EBD,31.3927,8.6859,61.9969,1.9835,3.2521,-1.6529,-0.1792,0.1471,0,3.8366,2.8463,5.8831,0.3075,5
EC2,18.869,27.7698,0.9786,24.1109,0.7746,0.6969,1.0468,0.0691,20.55,1.0256,9.0998,19.9308,1.291,7
ECA,22.3349,14.3414,22.4079,13.1335,1.5066,0.6282,1.0547,-0.0042,20.4867,1.8489,4.6995,10.1434,0.6638,6
ECB,57.9344,1.8891,57.2511,1.35,24.7142,214.5083,1.1499,-0.0257,40.601,,0.619,0,0.0405,1
ECV,52.6292,2.0493,52.6229,1.5895,21.0793,16.6394,0.3762,0.1069,0,12.4476,0.6715,0.5771,0.0474,2
EHG,20.9304,12.6375,53.5454,1.7595,1.5981,0.6609,0.012,0.0781,0,1.8607,4.1411,9.1504,0.6257,4
EIB,46.7848,4.7212,53.5454,1.7595,8.3236,-15.8929,1.3207,-0.0736,29.7545,14.9792,1.5471,1.8175,0.1201,3
EIC,41.6429,5.0516,53.5454,1.7595,7.0612,2.4759,1.2857,-0.0819,27.7452,9.7341,1.6553,2.731,0.1416,3
EID,3.099,22.7489,1.8078,22.8465,0.2517,0.2267,0.9542,0.0059,6.0012,0.2984,7.4545,17.3753,3.9728,6
EIE,8.8107,17.5727,53.5454,1.7595,0.5785,0.4789,-0.2765,0.0884,-36.7719,0.7369,5.7584,12.9412,1.7285,7
EIF,33.6281,6.3478,37.6093,6.2094,4.6933,-3.4906,0.9414,-0.0042,31.6468,9.276,2.0801,2.8413,0.2131,5
EIG,32.2297,6.8843,31.3589,5.554,4.177,-10.3922,1.05,-0.0025,27.3865,3.4753,2.2559,4.8629,0.2394,4
EIH,8.8355,25.5143,3.6208,22.8386,0.4668,0.4213,1.0967,0.0201,10.8614,0.6151,8.3607,18.5459,2.142,6
EIK,29.0934,5.5161,31.6749,5.024,4.753,-7.5524,1.0503,-0.0136,24.9629,5.4736,1.8076,3.1593,0.2104,4
EIL,59.8481,1.9305,61.9969,1.9835,24.8222,214.0529,0.965,0.0014,49.6593,,0.6326,0.0339,0.0403,2
EKF,55.0044,1.8299,25.8248,3.3836,24.4674,197.9388,-0.1074,0.1877,0,,0.5996,0,0.0409,3
ELZ,13.5038,21.469,12.5645,21.3093,0.7105,0.4933,0.9771,0.0048,15.6109,0.8286,7.0351,16.2993,1.4075,6
EST,23.4184,10.321,28.1971,6.3016,2.1324,0.3353,1.4515,-0.0599,15.1627,2.6492,3.382,7.0061,0.469,4
FEA,55.1876,1.6916,59.837,1.6814,26.5375,240.8928,0.075,0.1639,0,,0.5543,0,0.0377,3
FEF,13.1718,16.1924,53.5454,8.4723,0.8611,0.6184,0.001,0.0552,0,1.0761,5.306,11.9769,1.1613,7
FEI,16.8523,12.6052,13.8887,11.6323,1.324,0.8841,1.0394,0.0087,16.0566,1.6763,4.1306,8.9236,0.7553,5
FEN,19.7273,8.7538,30.233,5.671,2.143,-0.1733,1.2683,-0.0621,14.7904,2.3741,2.8685,6.203,0.4666,4
FEO,23.7362,8.9044,,,2.4858,1.7103,,,,3.2052,2.9179,6.0293,0.4023,6
FER,20.3908,16.149,53.5454,1.7595,1.254,0.5229,-0.1569,0.1076,0,1.5361,5.2918,11.678,0.7975,6
FES,42.6925,4.0311,53.5454,1.7595,9.0245,-35.3454,0.7005,0.0226,51.9362,8.9557,1.321,2.3032,0.1108,4
FET,57.816,1.9187,54.2788,1.4881,24.2924,201.5986,0.9088,0.0253,51.2892,,0.6287,0.0356,0.0412,1
FFO,24.7797,5.6087,,,4.0565,2.0388,,,,4.8483,1.8379,2.1131,0.2465,6
FGA,72.9414,16.6095,,,3.4511,4.3604,,,,5.2407,5.4427,9.9969,0.2898,6
FGF,26.092,7.2464,55.8457,8.4639,3.3019,-2.1562,0.0224,0.0909,0,3.7516,2.3745,4.8644,0.3029,3
FGH,27.6545,7.7222,43.2304,1.3837,3.2657,-8.8361,0.7347,-0.0069,34.3236,3.2597,2.5305,4.8223,0.3062,3
FGS,48.9041,27.8345,,,1.5997,1.5561,,,,2.1871,9.121,19.2333,0.6251,7
FI3,33.6798,6.2925,40.6445,4.5799,4.7407,-14.4899,1.2151,-0.05,24.5504,4.1732,2.062,4.3699,0.2109,3
FI5,58.6771,1.96,58.7574,1.4116,24.065,197.5925,1.2795,-0.0525,36.8645,,0.6423,0,0.0416,1
FIB,76.3366,19.0056,70.3595,19.7191,3.1428,4.071,0.8852,0.0391,67.475,4.9366,6.2279,11.3233,0.3182,6
FIC,21.6464,21.8237,58.146,8.4561,1.0258,0.8878,0.0012,0.0886,0,1.3456,7.1513,15.581,0.9748,5
FID,6.1227,17.4846,61.9969,1.9835,0.4343,0.4104,-0.2244,0.074,-33.8469,0.5817,5.7295,12.7114,2.3024,7
FIE,55.5129,3.4414,51.1312,5.1241,13.1193,-369.042,0.0993,0.1625,0,2.3565,1.1277,1.7563,0.0762,1
FIF,58.9127,6.9504,61.9969,1.9835,6.8402,-23.4913,0.2031,0.1489,0,6.1671,2.2776,4.4294,0.1462,5
FIG,42.6363,7.9011,55.8457,8.4639,4.6282,5.6244,0.0351,0.1388,0,7.8161,2.5891,4.546,0.2161,3
FIH,20.4878,16.2277,56.6125,8.4613,1.2536,0.7164,-0.0249,0.0853,0,1.5349,5.3176,11.6157,0.7977,4
FII,23.8779,10.4091,21.11,8.424,2.1517,0.7719,1.098,0.0022,20.3994,2.6089,3.4109,7.3863,0.4647,2
FIK,33.3426,5.1573,53.5454,8.4723,5.7215,-8.1182,0.0164,0.1142,0,6.1062,1.69,3.3067,0.1748,3
FIL,59.1519,2.0117,56.3764,1.3324,23.5994,187.7249,1.0861,-0.0084,43.7094,,0.6592,0.0269,0.0424,1
FIM,43.9016,3.4755,41.1164,1.3973,10.7092,8.5411,1.0664,-0.0011,34.9024,14.548,1.1389,1.4703,0.0934,6
FIR,42.6972,7.6609,42.4838,8.7625,4.7766,6.2201,0.6579,0.0498,55.6251,7.9528,2.5104,4.3563,0.2094,6
FIS,30.1293,6.5196,24.4991,5.14,4.156,-0.0616,0.8935,0.0277,30.3247,4.7228,2.1364,4.3321,0.2406,4
FIT,25.6709,10.4867,58.7539,2.3455,2.2765,-1.8933,1.453,-0.1776,16.4302,2.1057,3.4364,7.4656,0.4393,2
FIU,27.2122,14.5195,45.3444,1.3727,1.7649,0.5255,0.399,0.0412,64.2204,2.0958,4.7579,10.4566,0.5666,5
FIV,30.6674,12.1808,43.9351,1.3797,2.3026,0.7717,0.5352,0.0323,52.4051,2.8299,3.9915,8.5017,0.4343,7
FIY,55.7276,1.8154,35.4404,1.593,24.9237,207.4654,0.1053,0.1666,0,,0.5949,0,0.0401,1
FIZ,47.5247,3.1755,55.0789,8.4667,12.5182,-42.4833,-0.0018,0.1581,0,11.3114,1.0406,1.5309,0.0799,4
FNO,42.8093,5.3643,53.5454,1.7595,6.8089,9.5769,0.0958,0.1283,0,10.971,1.7578,2.7315,0.1469,4
FPE,30.9356,5.1136,31.0635,5.4482,5.4059,-17.7756,0.902,0.0103,30.6476,6.5662,1.6757,2.6496,0.185,6
FPH,2.5608,24.8494,0.7046,25.5286,0.2289,0.2167,0.9613,0.0073,5.9165,0.3,8.1428,18.371,4.3693,6
FPK,53.4073,1.9574,53.0224,1.6213,22.3341,155.1434,0.1248,0.152,0,65.7075,0.6414,0.1379,0.0448,1
FPR,19.7653,22.7832,-1.6657,25.3838,0.9227,0.6663,0.8723,0.0781,24.0999,1.1499,7.4658,16.6698,1.0838,7
FPZ,25.9978,4.5952,24.8395,4.612,5.1557,-74.2491,0.9922,0.0044,23.8781,13.9376,1.5058,1.2452,0.194,6
FRA,-2.6118,15.9446,55.0789,8.4667,-0.0893,-0.0924,-0.0044,-0.0049,0,-0.0813,5.2249,12.0867,-11.1966,6
FRZ,3.4854,15.3888,55.0789,8.4667,0.3045,0.2567,-0.0245,0.023,0,0.2741,5.0427,11.5662,3.284,6
FSF,59.7114,1.9295,55.8457,8.4639,24.7891,209.6412,0.0583,0.1793,0,,0.6323,0,0.0403,2
FUB,30.4664,5.5491,32.7442,5.5462,4.9199,-3.7637,0.9231,0.0019,29.5747,5.6682,1.8184,3.3341,0.2033,6
FUP,17.5974,9.6997,,,1.7549,-8.2555,,,,1.3436,3.1785,7.9707,0.5698,6
FUS,20.4618,4.6706,,,4.091,-22.0488,,,,11.137,1.5305,1.5626,0.2444,6
FVS,11.458,3.4906,,,6.3871,10.6938,,,,10.5426,1.1438,1.694,0.1566,6
FYA,49.1585,16.8389,53.5454,8.4723,2.508,1.8811,0.0207,0.164,0,3.3966,5.5179,10.2266,0.3987,6
FYB,39.6952,9.0376,22.9966,4.602,3.8212,3.4289,0.1727,0.1225,0,4.0234,2.9615,5.0462,0.2617,5
FYD,-0.8749,24.9492,3.6765,22.8384,0.0898,0.0873,1.0591,-0.0176,2.1164,0.117,8.1755,18.5572,11.1307,6
FYG,31.4758,5.0133,22.9966,4.602,5.5967,-31.228,0.8244,0.0419,34.0363,11.8887,1.6428,1.3177,0.1787,5
FYH,32.9457,12.4936,22.9966,4.602,2.3888,1.3845,0.6778,0.0613,44.0295,2.256,4.094,7.5136,0.4186,5
FYI,29.5093,27.2556,53.5454,8.4723,1.1045,0.9252,0.0035,0.1188,0,1.3094,8.9313,18.3246,0.9054,7
FYL,24.209,10.7621,21.11,8.424,2.1099,0.6918,1.1824,-0.0033,19.205,2.5925,3.5266,7.5534,0.4739,4
FYM,33.164,5.6383,,,5.2134,0.685,,,,7.2174,1.8476,1.882,0.1918,5
FYN,26.6992,7.0147,23.9717,5.1992,3.4785,0.6447,1.1086,-0.0003,22.0107,4.2467,2.2986,4.6623,0.2875,3
FYO,56.0894,1.8689,54.774,1.4435,24.3385,204.6911,-0.0529,0.1899,0,,0.6124,0,0.0411,1
FYT,50.6105,2.0867,52.2116,1.6533,20.0495,16.1505,0.2669,0.1206,0,14.9305,0.6838,0.6351,0.0499,1
FYU,27.2294,6.8969,23.9717,5.1992,3.5985,1.2021,1.0956,0.0025,22.6531,4.4961,2.26,4.5431,0.2779,3
FYY,25.1356,10.3856,21.11,8.424,2.2557,0.5937,1.144,0.0026,20.4779,2.8229,3.4032,7.2121,0.4433,3
GA1,37.1632,5.289,56.6217,1.8674,6.126,-31.5718,0.7938,-0.0158,40.8155,4.2811,1.7331,3.7424,0.1632,2
GAE,1.2656,25.6658,2.7828,25.5142,0.1791,0.1725,1.0048,-0.006,4.5741,0.2372,8.4104,18.8618,5.584,6
GAF,4.9669,25.4972,-0.9421,24.12,0.3222,0.2999,1.0229,0.0246,8.0306,0.434,8.3551,18.5326,3.104,6
GAG,25.9326,5.3464,22.9966,4.602,4.4284,-28.6099,1.0508,0.0054,22.5303,6.6795,1.7519,2.123,0.2258,6
GAH,45.9945,5.7583,53.3569,8.4894,6.7382,5.1776,0.0205,0.1504,0,9.4073,1.8869,3.014,0.1484,3
GAK,19.8276,10.7141,24.4229,7.8763,1.8194,1.5047,1.0061,-0.0151,19.3759,2.2065,3.5109,7.4751,0.5496,4
GAL,58.5616,1.9756,55.0663,1.3025,23.8377,188.6079,1.3176,-0.0474,35.7413,,0.6474,0.094,0.042,1
GAN,33.1404,33.529,53.5454,8.4723,1.0373,1.1752,-0.3008,0.1907,0,1.6815,10.987,20.9395,0.964,7
GAS,28.0586,4.4258,22.9966,4.602,5.7258,-72.3072,0.9291,0.0223,27.2755,12.7201,1.4503,1.3509,0.1746,6
GBC,19.6524,19.4765,,,1.0379,0.8793,,,,1.1778,6.3822,14.7369,0.9635,6
GBG,27.0267,22.1154,,,1.2137,1.0548,,,,1.5628,7.2469,14.4862,0.8239,6
GBL,57.9728,1.9466,47.2332,2.5762,23.9976,191.4394,0.0338,0.1801,0,,0.6379,0.0565,0.0417,1
GBN,59.495,1.9074,61.9969,1.9835,25.0032,220.7602,0.9609,0.0013,49.6327,,0.625,0,0.04,2
GCK,27.6697,5.4075,43.2304,1.3837,4.6381,0.4063,0.4713,0.0309,53.2104,5.8435,1.772,3.4021,0.2156,3
GCS,24.8634,7.7382,55.8457,8.4639,2.9676,-1.4242,0.0237,0.0868,0,3.5496,2.5357,5.1716,0.337,4
GCV,57.7573,2.0212,52.5786,5.1482,23.0435,149.5075,0.1081,0.1663,0,28.7069,0.6623,0.2347,0.0434,2
GDV,54.7018,1.8019,35.7226,1.3144,24.7352,199.4246,0.7557,0.0833,58.9806,,0.5905,0,0.0404,1
GEA,19.5169,14.2431,24.1834,13.592,1.3488,1.0647,1.0083,-0.0159,19.0521,1.7505,4.6673,10.0952,0.7414,5
GED,3.993,25.1141,4.8801,23.5938,0.2853,0.2693,1.0545,-0.0036,6.7953,0.3831,8.2296,18.3775,3.5048,6
GEF,19.17,16.8393,61.9969,1.9835,1.1474,0.7431,-0.331,0.1414,-58.3707,1.4649,5.518,12.0306,0.8715,5
GEG,6.8458,24.5463,3.6765,22.8384,0.3986,0.3656,1.0616,0.0123,9.2175,0.5314,8.0435,17.8693,2.5086,6
GEH,5.2466,24.6242,3.6765,22.8384,0.3357,0.3125,1.0646,0.0061,7.7639,0.4471,8.069,17.9774,2.9792,6
GEK,38.0968,5.6804,32.0736,5.5309,5.8295,-2.1127,0.8457,0.0356,39.1565,6.5539,1.8614,3.3853,0.1715,3
GEL,59.2074,2.0196,55.8502,1.4898,23.5241,175.8804,1.0657,-0.0031,44.5803,26.9594,0.6618,0.1692,0.0425,2
GES,26.8047,7.2483,24.3557,5.1974,3.3805,0.3499,1.1221,-0.0024,21.8353,4.1301,2.3752,4.8563,0.2958,3
GEU,35.7495,3.1965,30.0416,3.4707,9.7771,-236.5271,0.9052,0.0275,34.5266,21.3249,1.0474,0.6563,0.1023,5
GHA,81.2095,16.6252,73.6501,20.9408,3.7352,4.7658,0.5913,0.1091,0,5.8455,5.4479,9.7288,0.2677,6
GHD,24.2252,9.6489,21.9829,8.0071,2.3429,0.4955,1.1426,-0.0037,19.7846,2.8935,3.1618,6.5621,0.4268,4
GHE,17.9253,16.7687,61.9969,1.9835,1.0876,0.7351,-0.3509,0.141,-51.9673,1.3883,5.4949,12.0021,0.9195,5
GHF,39.2226,5.5963,32.0736,5.5309,6.0645,-3.2697,0.8404,0.0395,40.384,6.8017,1.8338,3.3161,0.1649,3
GHG,33.1828,5.0922,34.7876,5.32,5.7698,-5.3194,0.917,0.0052,32.0395,8.4315,1.6686,2.5454,0.1733,6
GHH,14.7494,17.3527,,,0.8958,0.8611,,,,1.2366,5.6862,12.1101,1.1163,6
GHI,17.3361,13.9398,13.8887,11.6323,1.2403,0.6181,1.1675,0.004,14.8091,1.5551,4.5679,9.8633,0.8062,5
GHJ,7.987,24.1851,58.146,8.4561,0.4457,0.4108,-0.0219,0.0469,0,0.5939,7.9251,17.5887,2.2438,6
GHK,33.5943,5.1107,34.7876,5.32,5.8107,-5.9612,0.9217,0.0059,32.2213,8.6306,1.6747,2.5155,0.1721,6
GHL,25.4826,10.5713,21.623,8.4236,2.2446,0.6527,1.1712,-0.0003,20.2598,2.7923,3.4641,7.3507,0.4455,3
GHM,15.7482,17.4243,56.6125,8.4613,0.944,0.6816,-0.003,0.0658,0,1.2095,5.7097,12.5257,1.0594,5
GHN,28.448,12.4675,55.8457,8.4639,2.112,1.3587,-0.0044,0.1053,0,2.8,4.0854,8.4312,0.4735,4
GHO,45.6262,11.5452,,,3.3815,2.8427,,,,4.4646,3.7832,7.3052,0.2957,6
GHP,51.882,3.231,55.0789,8.4667,13.2244,-1.6866,0.0442,0.1616,0,14.9142,1.0587,1.3255,0.0756,2
GHS,3.9916,25.0653,3.6765,22.8384,0.2855,0.2648,1.084,0.0013,6.6013,0.3719,8.2136,18.4585,3.5027,6
GHT,38.4392,9.0502,55.2269,3.9348,3.7141,2.3884,0.7684,-0.0038,43.7474,4.9778,2.9656,5.3784,0.2692,4
GHU,21.265,17.1861,45.3444,1.3727,1.2313,0.7443,0.2546,0.0454,83.1232,1.5243,5.6316,12.451,0.8122,5
GHV,33.6645,8.9976,43.2304,1.3837,3.337,1.9636,1.0662,-0.0361,28.1606,4.2665,2.9484,5.9333,0.2997,3
GHY,25.0478,14.1645,43.9351,1.3797,1.6817,0.9415,0.4448,0.0289,53.5536,2.0977,4.6415,10.1004,0.5946,5
GHZ,44.3896,1.9956,42.5257,1.3879,18.8044,80.9572,1.1672,-0.0187,32.1493,27.8897,0.6539,0.387,0.0532,2
GKB,37.821,2.6612,32.6684,2.4248,12.3193,-42.9464,-0.0394,0.1346,0,8.7465,0.8721,1.363,0.0812,2
GKF,24.7508,21.3194,28.4477,11.8249,1.1666,0.2978,1.5881,-0.0668,15.6613,1.3122,6.9861,15.9547,0.8572,5
GKS,18.9148,9.6616,53.1379,8.5592,1.9241,-1.1735,-0.0127,0.076,0,1.8598,3.166,7.3599,0.5197,6
GME,41.0654,8.426,29.8098,6.1785,4.2106,3.3467,0.7957,0.0561,44.5911,5.7172,2.7611,4.8976,0.2375,5
GMR,-15.0642,25.5089,7.5618,21.8856,-0.5238,-0.6215,1.1184,-0.0968,-11.9467,-0.6335,8.3589,20.1875,-1.9092,6
GPA,30.6308,5.4712,33.1547,5.4421,5.0126,-2.4917,0.929,0.0005,29.5205,5.636,1.7928,3.2215,0.1995,6
GPC,30.2551,5.5879,29.8098,6.1785,4.8563,-7.1926,0.8444,0.0178,32.1356,6.1929,1.8311,2.9992,0.2059,6
GPF,43.1184,7.1967,41.1164,1.3973,5.1219,-0.168,0.9716,0.0107,37.9364,5.7227,2.3583,4.51,0.1952,4
GPG,33.0636,20.2311,46.3605,2.9341,1.5423,1.3508,0.9889,-0.029,31.5544,2.1169,6.6295,13.8277,0.6484,5
GPL,24.3157,4.6032,22.9966,4.602,4.8486,-67.0499,1.0001,0.0043,22.3165,13.1494,1.5084,1.2585,0.2062,6
GRA,73.3131,15.2321,74.2997,25.2129,3.7631,5.7324,0.2375,0.171,0,6.5827,4.9913,8.5161,0.2657,6
GSE,26.8866,4.3321,22.9966,4.602,5.632,-28.7047,0.6644,0.0408,36.7206,14.838,1.4196,0.7641,0.1776,4
GSG,30.7581,5.3356,22.9966,4.602,5.157,-12.6142,0.7543,0.0456,36.4773,7.6306,1.7484,1.6199,0.1939,5
GSM,24.6025,18.1683,51.6731,1.7187,1.358,0.3544,-0.6607,0.2122,-37.3409,1.5758,5.9535,13.1544,0.7364,7
GSO,55.8783,4.7894,53.3569,8.4894,9.4884,33.4734,0.1224,0.1589,0,21.6533,1.5694,0.576,0.1054,3
GTA,67.087,18.5913,74.8523,20.9419,2.9124,3.8305,0.7793,0.0316,69.4828,4.6788,6.0921,11.2025,0.3434,6
