Fiyat	Fon Günlük Getiri, Logaritmik - Günlük Getiri,	2 Gün Arası Max Fiyat, 	Önceki Günün Zirvesi ile Bugünkü fiyat Karşılaştırması
24.252745	-0.002875259	-0.0028794	24.420584	-0.00687285
24.03811	-0.008849926	-0.008889319	24.420584	-0.015661951
24.056359	0.00075917	0.000758881	24.420584	-0.014914672
23.956655	-0.004144601	-0.004153213	24.420584	-0.018997457
23.990306	0.001404662	0.001403676	24.420584	-0.01761948
24.296574	0.012766323	0.012685521	24.420584	-0.005078093
24.417873	0.004992432	0.004980011	24.420584	-0.000111013
24.524047	0.004348208	0.004338782	24.524047	0
24.400891	-0.005021847	-0.005034498	24.524047	-0.005021847
24.32869	-0.002958949	-0.002963336	24.524047	-0.007965936
24.474146	0.005978785	0.005960983	24.524047	-0.002034778
24.594415	0.004914124	0.00490209	24.594415	0
24.554002	-0.001643178	-0.001644529	24.594415	-0.001643178
24.447733	-0.004327971	-0.004337363	24.594415	-0.005964037
24.416702	-0.001269279	-0.001270085	24.594415	-0.007225746
24.545953	0.005293549	0.005279587	24.594415	-0.001970447
24.615586	0.002836842	0.002832826	24.615586	0
24.453075	-0.006601955	-0.006623845	24.615586	-0.006601955
24.437774	-0.000625729	-0.000625925	24.615586	-0.007223553
24.496293	0.002394613	0.00239175	24.615586	-0.004846238
24.69104	0.00795006	0.007918625	24.69104	0
24.946019	0.010326783	0.010273826	24.946019	0
25.068947	0.00492776	0.004915659	25.068947	0
25.151384	0.003288411	0.003283016	25.151384	0
25.319923	0.006700983	0.006678631	25.319923	0
25.289508	-0.001201228	-0.00120195	25.319923	-0.001201228
25.49697	0.008203481	0.008170015	25.49697	0
25.4762	-0.000814607	-0.000814939	25.49697	-0.000814607
25.406123	-0.002750685	-0.002754475	25.49697	-0.003563051
25.433247	0.001067617	0.001067047	25.49697	-0.002499238
25.459258	0.001022716	0.001022194	25.49697	-0.001479078
25.524571	0.002565393	0.002562108	25.524571	0
25.393837	-0.005121888	-0.00513505	25.524571	-0.005121888
25.320961	-0.00286983	-0.002873956	25.524571	-0.007977019
25.286046	-0.001378897	-0.001379849	25.524571	-0.009344917
25.345449	0.00234924	0.002346485	25.524571	-0.00701763
25.620177	0.010839342	0.010781018	25.620177	0
25.607048	-0.000512448	-0.000512579	25.620177	-0.000512448
25.581471	-0.000998827	-0.000999326	25.620177	-0.001510762
25.401623	-0.007030401	-0.007055231	25.620177	-0.008530542
25.547417	0.005739555	0.005723146	25.620177	-0.002839949
25.628306	0.00316623	0.003161228	25.628306	0
25.555786	-0.002829684	-0.002833695	25.628306	-0.002829684
25.691526	0.005311517	0.005297461	25.691526	0
25.655243	-0.001412256	-0.001413254	25.691526	-0.001412256
25.668422	0.000513696	0.000513564	25.691526	-0.000899285
25.496318	-0.006704892	-0.006727471	25.691526	-0.007598147
25.49165	-0.000183085	-0.000183102	25.691526	-0.007779841
25.436008	-0.002182754	-0.00218514	25.691526	-0.009945614
25.496949	0.002395856	0.00239299	25.691526	-0.007573587
25.661977	0.006472461	0.006451604	25.691526	-0.001150146
25.556949	-0.004092748	-0.004101146	25.691526	-0.005238186
25.833159	0.010807628	0.010749643	25.833159	0
25.883199	0.001937045	0.001935172	25.883199	0
25.993593	0.004265083	0.004256014	25.993593	0
26.139357	0.00560769	0.005592025	26.139357	0
26.221837	0.003155395	0.003150427	26.221837	0
26.056865	-0.006291398	-0.006311272	26.221837	-0.006291398
25.975698	-0.003114995	-0.003119857	26.221837	-0.009386795
26.13299	0.006055352	0.006037092	26.221837	-0.003388283
26.311299	0.006823138	0.006799966	26.311299	0
26.441685	0.004955514	0.004943275	26.441685	0
26.500672	0.002230834	0.002228349	26.500672	0
26.469422	-0.001179215	-0.001179911	26.500672	-0.001179215
25.489401	-0.037024647	-0.037727461	26.500672	-0.038160202
25.198932	-0.011395678	-0.011461106	26.500672	-0.049121019
24.506318	-0.027485847	-0.027870651	26.500672	-0.075256733
24.298557	-0.008477855	-0.008513996	26.500672	-0.083096572
25.050639	0.030951715	0.03048237	26.500672	-0.054716839
24.965135	-0.003413246	-0.003419085	26.500672	-0.057943323
24.932464	-0.001308665	-0.001309522	26.500672	-0.05917616
24.945049	0.000504764	0.000504636	26.500672	-0.058701266
24.939784	-0.000211064	-0.000211086	26.500672	-0.05889994
24.887475	-0.002097412	-0.002099615	26.500672	-0.060873815
