FONKODU,GETIRI1A,GETIRI3A,GETIRI6A,GETIRIYB,GETIRI1Y,GETIRI3Y,GETIRI5Y,RISKDEGERI
FIH,5.8688,11.1824,16.533,3.9781,19.672,61.2378,,
FII,2.7978,8.3725,10.7387,0.734,21.4063,80.373,,
FIK,2.0802,8.0224,17.7078,1.7576,23.4977,76.9305,,
FIL,1.3543,3.6926,6.1595,0.4918,10.9513,59.0694,96.4981,
FIM,2.0853,7.6858,15.5697,0.634,32.0936,94.1699,,
FIR,6.0099,13.5771,17.5948,3.119,32.5574,111.8249,,
FIS,3.5698,12.7134,14.0178,0.5732,27.5389,,,
FIT,1.2571,3.3741,5.0914,0.5361,10.4574,57.8281,94.5002,
FIU,6.5873,24.4539,35.1445,1.1344,57.2199,126.7504,,
FIV,-0.5787,-0.1062,18.7474,-0.5136,32.333,96.9887,,
FIY,1.2636,3.3796,5.5989,0.4059,10.5147,56.3668,,
FIZ,0.9317,2.443,3.9549,0.2876,8.1946,43.0043,,
FNO,0.579,3.4028,11.5557,0.9107,22.5474,64.0064,115.1477,
FPE,-4.4864,0.3346,16.3979,-0.707,34.2383,119.7631,,
FPH,12.9347,28.8477,43.1669,4.6358,65.0683,136.2726,,
FPK,1.1367,3.0859,5.1931,0.4749,9.5696,53.5565,87.0065,
FPR,6.6349,14.9053,14.104,3.9088,25.6701,,,
FPZ,-3.7159,-0.8938,12.497,0.4701,26.2339,,,
FRA,10.7662,45.1654,62.2504,-2.094,75.4238,,,
FRZ,8.3928,24.6946,33.5076,3.5986,37.2565,,,
FSF,0.9582,3.0126,5.4048,0.3954,10.52,,,
FUB,-4.2399,1.1213,17.0146,-0.9563,28.584,116.3706,190.156,
FUP,-4.1567,4.5183,16.853,0,34.1047,,,
FUS,-5.6267,-6.2517,6.2922,-0.6596,25.053,93.4937,,
FVS,-3.6825,5.8842,19.0936,-0.5687,34.3382,,,
FYA,10.4059,35.4343,73.7092,2.5672,171.1559,,,
FYB,-6.061,-1.2798,12.6289,-0.854,29.8092,117.3721,,
FYD,12.1423,35.3165,39.4402,4.3065,36.5608,68.1728,213.0524,
FYF,0.4144,3.4998,3.7466,1.4995,4.4582,42.2415,,
FYG,-6.7225,-5.4987,7.7567,-0.4124,25.8584,-50.3328,,
FYH,-6.1312,-4.2927,10.4852,-0.7968,37.5512,127.4254,,
FYI,1.8493,6.8277,11.577,0.1387,18.4846,,,
FYL,2.678,7.3146,11.8499,1.1331,25.7337,,,
FYM,-5.6643,-2.8045,17.0534,-1.8185,41.2792,140.4177,,
FYN,3.2985,9.5653,15.0488,1.6507,30.7003,91.3254,,
FYO,0.743,1.7288,3.4705,0.4117,7.8478,50.2974,79.611,
FYT,0.7785,2.2669,3.8381,0.4075,7.4947,47.7244,78.948,
FYU,3.3938,9.7646,15.311,1.626,29.618,,,
FYY,3.3953,7.985,9.0505,0.8887,17.6454,,,
GA1,1.0881,2.53,3.23,0.5625,8.9364,48.9879,74.3173,
GAE,8.7223,26.6363,23.9177,2.8933,13.3995,26.9577,101.6708,
GAF,8.9515,25.0917,31.8421,3.7106,21.3671,63.8529,125.9601,
GAG,-4.955,-3.5003,9.4418,-0.6795,26.0136,,,
GAH,0,0,0,0,0,,,
GAK,3.319,9.5482,15.8472,1.509,17.3456,69.5867,112.6671,
GAL,1.2907,3.4601,5.6834,0.4614,9.8912,55.2443,89.4287,
GAN,1.4943,3.8386,6.8652,0.5271,14.3483,,,
GAS,-3.866,-2.0824,11.5216,0.5503,27.565,,,
GBC,0,0,0,0,0,0,0,
GBG,1.0969,11.034,32.5848,4.9335,36.7668,108.8356,285.1064,
GBL,0,0,0,0,0,0,0,
GBN,1.4291,3.8734,6.5675,0.5187,11.616,,,
GCK,2.2725,5.2608,8.3102,0.841,19.4889,67.7693,,
GCS,2.3336,5.3876,8.129,0.7766,16.4005,59.3809,,
GCV,1.2849,3.4061,5.8469,0.4572,10.8463,57.6361,,
GDS,-3.6164,-2.1859,10.1738,0,28.4499,,,
GDV,1.3844,3.6381,6.0962,0.504,10.8351,51.7188,,
GEA,2.5712,5.2709,8.0183,1.3872,18.0534,59.1035,100.1359,
GED,0.8792,2.8653,5.6816,0.4443,11.2315,58.973,93.5614,
GEF,4.4362,12.46,16.5285,2.7162,20.2086,72.0665,138.7888,
GEG,10.5507,32.7154,34.7562,4.6769,29.8143,69.8881,197.3103,
GEH,10.4232,32.2518,33.7292,4.6399,27.6941,62.5498,177.9845,
GEK,0.8652,2.8793,3.1017,0.0145,8.0404,45.684,72.0498,
GEL,1.2448,3.3936,5.6696,0.436,10.2232,57.4355,91.6986,
GES,3.5855,8.4022,10.0825,1.4372,21.319,71.2249,95.3918,
GEU,-3.6195,-1.6013,10.6401,-0.227,25.39,89.8165,131.1601,
GHA,-5.9372,-8.5979,10.1066,-3.0799,48.8828,168.4115,294.1241,
GHD,2.7357,6.6638,6.2098,0.9077,9.884,48.0942,76.7294,
GHE,4.2141,11.9267,15.591,2.5136,18.61,66.1819,125.3953,
GHF,0.975,3.0051,3.5569,0.1028,8.8785,48.7953,79.2767,
GHG,-3.7161,2.2955,18.805,-1.8165,33.8273,121.2664,194.5811,
GHH,8.1543,26.2977,27.2843,3.4675,16.2595,29.4228,116.4131,
GHI,2.1861,6.7338,5.5528,-0.1516,8.8052,53.1048,88.7963,
GHJ,9.4786,16.8913,19.6002,3.0152,16.5752,48.621,,
GHK,-3.5686,2.5323,19.5832,-1.7245,35.1918,126.3618,203.5223,
GHL,2.9435,6.8362,8.3283,1.0672,19.9696,78.7502,114.9987,
GHM,11.1828,20.6878,24.4819,2.7157,23.7518,61.8591,,
GHN,10.2395,17.8085,21.6266,2.485,20.2323,58.8147,,
GHO,-2.0644,-1.3307,16.4367,-0.191,43.3273,100.3339,144.9131,
GHP,3.4662,6.2132,8.3636,0.4985,13.1836,54.9102,,
GHS,12.1682,35.6672,38.3575,5.2809,29.786,72.8374,188.5413,
GHT,1.4369,5.5171,10.9536,0.9642,15.4228,47.543,97.6951,
GHU,7.2782,17.8446,30.5481,2.5941,49.3408,106.6634,,
GHV,1.1017,2.7156,4.1261,0.2669,11.3632,60.8826,,
GHY,6.1411,14.9852,26.1065,2.0865,38.7298,92.9589,,
GHZ,1.1245,3.0868,4.1004,0.3496,9.2346,48.7149,,
GKB,0.4908,1.7197,0.7094,0.0446,4.2163,47.5727,69.7545,
GKF,0.6345,-0.2923,-3.9333,-0.1889,0.3749,,,
GKS,1.3114,4.4852,10.2532,0.8102,17.2651,,,
GME,-0.1164,3.6618,22.0327,0,43.5549,,,
GMR,12.8171,32.5151,53.3472,5.1247,89.1135,198.8494,405.7864,
GPA,-4.3593,-0.0814,15.0423,-0.435,26.076,104.7137,172.6388,
GPC,-2.7465,2.8747,17.1349,-0.852,29.7417,,,
GPF,1.1018,2.2379,-0.5144,0.4788,4.4064,40.409,57.8882,
GPG,3.9764,13.551,15.7819,2.4071,17.5209,,,
GPL,-2.4853,1.197,14.2524,-0.1827,28.7676,109.8945,,
GRA,-6.4228,-8.925,10.2057,-2.9531,47.8044,166.557,294.545,
GSE,-6.3754,-5.191,8.5982,-0.8272,28.4723,,,
GSG,-5.1686,-0.1409,13.8455,-0.4668,29.4063,,,
GSM,1.4143,4.4659,7.9262,0.6015,14.9952,,,
GSO,0.4049,6.0153,12.8228,0.3191,17.2256,73.2803,,
GTA,-5.6482,-8.8597,8.8722,-3.1008,46.077,154.0725,265.6663,
GTL,1.3027,3.4919,5.7683,0.4648,10.0103,55.5556,89.6949,
GYK,1.1274,3.125,5.3379,0.4428,10.7159,61.3177,101.2031,
GYL,1.026,2.8212,4.7097,0.3516,8.5597,50.9507,81.8019,
HBF,-5.0577,-9.2356,8.0436,-2.8516,44.6463,147.036,259.1453,
HBU,9.4145,28.2143,25.7339,3.037,14.4122,27.0223,108.024,
HDB,-3.744,-2.6523,10.481,-0.4301,27.7876,,,
HDH,24.69,92.8874,306.1765,7.0638,773.5819,,,
HDS,6.8453,16.6007,34.4032,4.7223,49.9267,,,
HEA,-6.6515,-9.0102,10.27,-3.014,49.381,166.2803,288.4177,
HEB,4.1807,9.156,8.2233,1.6044,12.0849,60.1659,114.1716,
HEC,1.9951,5.4326,6.6589,0.6793,12.2399,,,
HED,-3.8756,2.2881,19.2145,-1.5223,35.4447,118.3132,200.1026,
HEE,3.193,9.0194,11.7234,1.3857,26.1509,93.6064,142.13,
HEG,1.2552,3.1359,5.4912,0.4585,9.8137,49.4102,,
HEI,2.1442,5.6204,7.6393,0.8865,16.5837,,,
HEK,2.6913,7.7804,7.2595,0.7458,9.7603,48.4776,73.1608,
HEL,1.2972,3.4132,5.7299,0.4209,10.3765,55.0032,,
HEN,1.9678,5.4899,6.5323,0.4565,11.9599,59.9044,,
HEP,1.2426,3.3601,5.6591,0.4487,10.3979,59.1679,94.8464,
HER,2.9452,7.1501,8.4696,0.9871,20.6623,78.7514,114.2742,
HES,12.2515,32.6579,33.9964,4.5996,32.4179,63.1031,170.4987,
HET,2.0189,6.9184,5.7443,-0.2443,7.953,51.5478,83.1434,
HEU,2.0218,4.6037,5.8146,0.6164,13.7049,59.4657,,
HHA,2.8083,7.416,9.7181,0.9215,23.8654,80.3377,114.3884,
HHB,10.2725,29.6978,31.4117,4.2908,26.2088,40.0665,113.2996,
HHC,1.2389,3.3532,5.9085,0.4666,11.8638,58.6203,,
HHD,3.3113,8.0424,8.7495,1.022,20.4918,70.6885,96.3188,
HHE,5.988,18.2997,19.0903,2.3753,19.0049,56.5817,105.2095,
HHF,-5.7359,-8.2214,10.7529,-2.8417,48.9304,166.3501,,
HHG,-3.5908,3.0781,19.3099,-1.7167,33.1699,113.6795,190.0914,
HHH,4.7537,12.282,15.2496,2.1188,18.2764,64.5503,,
HHI,6.4002,16.4233,20.1976,2.8169,23.283,64.4309,,
HHK,2.3904,6.8006,5.9955,0.4701,9.8807,46.578,71.6925,
HHM,9.2919,24.7103,36.009,1.7492,82.7803,143.8387,266.018,
HHN,5.3518,15.6721,21.9242,1.9143,42.2904,122.5771,175.0949,
HHO,8.2868,21.8037,26.8831,3.6127,28.977,66.7273,,
HHP,1.2616,3.3849,5.5811,0.4333,10.2757,58.4425,92.405,
HHR,1.2676,3.3058,5.5791,0.4552,10.419,57.5022,,
HHT,2.214,7.5136,6.3339,-0.0868,8.1731,48.7575,80.7479,
HHU,4.6619,13.0409,17.9378,1.8387,37.4822,93.7845,,
HHV,1.3309,3.5305,5.8079,0.4734,10.3392,54.4528,,
HHY,1.2668,3.1873,5.6962,0.4466,11.5985,55.9305,,
HHZ,6.0832,18.5639,24.8813,2.2435,53.0905,107.0051,,
HKV,1.0782,3.0099,5.1391,0.444,9.8047,57.3259,93.1338,
HLL,1.3194,3.5006,5.8222,0.4796,10.2448,56.7951,92.1925,
HOA,-0.7892,1.9732,7.5094,-0.2719,10.2424,48.714,101.1416,
HOB,0.9943,2.9344,4.8281,0.5466,9.9337,52.4437,89.35,
HOY,-3.437,-1.3649,16.6744,0.4294,32.4207,106.451,196.3241,
HPD,2.5887,8.2314,14.0874,1.3995,20.2742,68.2543,119.7762,
HPF,5.7288,33.3132,185.3584,-1.5631,441.7573,,,
HPO,0.9802,3.1152,5.2698,0.5226,10.2176,51.4869,88.3525,
HPT,1.0459,2.8781,4.6262,0.4175,8.8325,51.3866,81.4902,
HPV,1.1333,2.7851,4.3193,0.443,8.6417,50.7556,,
HS1,0,0,0,0,0,0,0,
HSA,6.2098,20.209,25.8535,2.7191,34.8739,116.9557,248.5601,
HSL,1.3134,3.5419,5.8331,0.4837,10.0948,56.406,89.5024,
HST,0.9263,2.5693,2.5112,0.169,7.0288,43.956,67.7644,
HTT,0.8001,1.7746,0.408,-0.8286,3.7223,39.3427,59.7814,
HVS,11.224,36.6442,39.9627,4.5215,40.9681,122.4168,306.6814,
IAF,0.8071,7.9435,25.5088,2.047,46.2154,,,
IAR,20.3779,26.8466,24.7433,9.6094,117.0664,,,
IAS,10.8801,15.0551,24.127,5.3547,78.8482,148.6766,,
IBC,-2.8912,-0.0553,12.0929,0.5622,19.6746,,,
IBE,-0.705,-11.2023,-9.0987,1.1886,-3.4233,,,
IBK,1.0777,2.9409,4.3973,0.4209,8.7882,51.8947,86.8451,
IBR,-6.2581,-1.5113,10.4957,-0.7114,25.0481,76.0407,,
ICA,-4.8719,-8.2647,8.4624,-3.0007,44.0603,190.4098,320.2098,
ICC,3.9713,12.2357,16.1623,1.467,17.2443,50.806,113.9508,
ICD,1.7708,5.5877,7.365,0.7645,11.1667,52.139,91.6771,
ICE,1.3114,3.458,5.6416,0.4852,9.9056,55.9888,89.563,
ICF,9.3656,27.2106,29.6449,3.8218,27.2748,55.7977,160.28,
ICS,-4.7531,-3.4211,9.8055,-0.3796,26.1762,,,
IDD,6.1551,11.8757,14.5809,2.4394,20.3209,,,
IDF,-4.2656,-2.9994,10.3719,0.2471,27.067,,,
IDY,1.58,4.6732,9.8713,0.6815,15.8917,72.491,109.1113,
IEA,-3.7146,0.4331,15.01,-0.9304,29.9022,101.7066,167.4429,
IEB,2.7369,7.4439,6.7019,1.2172,10.7086,48.8564,76.101,
IEE,3.3122,10.0487,14.6543,1.875,19.3577,56.9238,105.3005,
IEF,7.205,18.4547,24.0099,3.13,28.14,55.0585,109.3951,
IEG,0.919,2.951,2.5341,-0.0529,7.191,46.7068,73.7373,
IEH,10.1166,29.4418,31.6454,4.8457,26.2096,50.7933,128.9874,
IEK,5.107,13.9628,14.7426,2.3177,16.2954,52.4685,109.025,
IER,1.2765,3.2913,5.5432,0.4461,10.2928,57.4709,90.6314,
IGE,1.9466,6.5057,5.4186,-0.0362,8.4339,52.6734,87.3919,
IGL,1.2972,3.5485,5.8372,0.4717,10.1029,56.9739,90.9245,
IIP,4.2698,8.8875,15.1364,1.4951,29.108,,,
IIS,8.1607,19.9557,33.5849,1.5716,65.6526,,,
IMH,1.3322,4.0338,7.9052,0.1446,13.8953,,,
IMO,1.3998,3.4738,6.7389,0.2786,5.1106,,,
IMS,-1.8265,0.5268,8.3063,0.3098,18.6365,,,
IPC,-4.7917,0.8432,28.9944,-0.3956,56.728,,,
IPE,1.5831,4.8607,8.7463,0.2179,14.355,,,
IPF,0.9916,2.768,5.7288,0,11.5903,,,
IPG,1.0123,3.1313,3.6807,0.4561,8.8668,25.2284,,
IPI,0.9798,2.8359,4.3761,0.3757,8.3552,52.9109,,
IPK,-4.3367,-4.7604,22.1408,0.0987,49.7556,,,
IPO,-0.4306,6.604,24.3071,-0.4557,44.375,,,
IPP,-3.6714,-3.5213,12.4183,0,30.7432,,,
IPR,-4.4038,0.5022,32.0175,0.3073,71.3262,,,
IPU,-6.669,-11.6966,17.6876,-1.4426,60.5937,,,
ISR,-1.8943,2.1116,24.4436,2.2607,50.8922,,,
ISS,7.9051,28.2718,52.9584,1.3503,52.8527,,,
IYR,0.122,1.2337,3.581,0.3443,7.5466,,,
IYS,4.8258,10.749,19.2337,3.6229,29.0315,90.476,161.9933,
KIS,-5.1443,-5.1379,11.6898,0.0676,19.9915,102.3443,179.4795,
KOA,2.0683,5.5806,7.0406,0.6933,12.3977,52.3681,,
KOE,1.0684,3.3939,6.639,0.4415,12.6614,64.2661,,
KOP,-3.2825,0.8777,-50.3204,0.3937,-45.2729,,,
KOS,2.3929,5.9875,8.0313,1.0976,16.6583,63.0137,,
KRC,1.1484,4.2207,8.1749,0.5124,13.6797,63.2489,107.161,
KRF,3.3064,8.3837,14.8009,1.8415,19.5964,,,
KRT,-5.9922,-3.3458,9.7614,-0.8249,27.9586,,,
KSD,0,0,0,,0,,,
KSV,1.176,2.8473,4.6121,0.4094,8.7722,,,
KSY,14.4223,31.7063,30.7105,0,21.9835,,,
KTE,-20.7227,-36.5433,-32.5645,-16.2163,6.4953,,,
KTM,2.837,8.3155,11.1255,0.9977,27.2843,83.7719,,
KTN,1.1558,2.6626,3.0588,0.4204,9.0347,52.215,,
KTR,1.4259,3.556,3.2565,0.4834,12.0576,58.7819,,
KTS,1.6151,,3.4386,0.824,9.4451,49.0803,,
KTT,-5.3915,-5.7665,7.0297,-0.3684,21.3091,108.7729,,
KTU,1.2466,3.2732,3.4504,0.4378,9.5762,56.4876,,
KTV,1.1641,2.6945,4.2408,0.413,8.1673,49.3611,,
KTZ,0,0,0,0,0,0,,
KUB,-2.9291,4.2022,25.0649,1.3251,34.6273,135.2866,239.0146,
KYA,13.106,29.1759,35.8843,4.5697,36.0117,41.1544,144.8804,
KZL,-5.1946,-9.2505,7.8587,-3.0844,41.8297,,,
MAC,11.9374,36.4432,49.4799,4.2048,89.5159,241.4605,424.9791,
MAD,0.3793,1.4579,2.7864,0.3246,5.6298,48.0696,95.8447,
MBL,1.0791,2.8821,4.6164,0.5096,7.6435,23.2985,,
MEA,-4.6975,-8.1457,10.0991,-2.9038,44.1761,,,
MHA,2.6268,6.3809,9.3203,0.6452,18.657,64.0009,89.4025,
MHB,1.1993,3.2221,5.456,0.4413,10.1917,55.5246,,
MHC,1.2294,3.0581,4.9471,0.4591,9.1344,47.4024,,
MHD,-4.3908,0.3958,17.2367,-1.12,32.045,109.1297,176.1005,
MHE,4.0827,10.072,10.4499,1.8493,13.1524,47.4245,92.0279,
