FONKODU,GETIRI1A,GETIRI3A,GETIRI6A,GETIRIYB,GETIRI1Y,GETIRI3Y,GETIRI5Y,RISKDEGERI
OYT,1.1436,3.6202,6.5209,0.6098,12.8059,73.3469,,
PBB,-4.6612,1.2307,16.5965,-1.1078,32.9307,,,
PLS,-3.8275,-68.2462,-63.8083,7.7286,-60.9215,,,
PPD,0,0,0,0,0,,,
PPF,-7.4935,-6.9474,-4.5878,-2.8412,-0.0635,,,
PRC,1.7056,3.9716,6.0396,0.4743,10.1005,49.5588,,
PRS,1.2512,3.3245,5.5559,0.4097,10.1226,54.1281,,
PUC,1.5285,3.7666,6.7968,0.6201,12.7163,,,
PUD,-3.6958,1.161,15.4562,0.1027,32.7363,,,
PUR,2.1583,4.484,8.3407,0.7247,13.7929,,,
PUT,-0.4472,-1.1831,9.4999,0.2919,20.4676,,,
RBA,-4.2549,-7.3677,10.1609,-2.4859,43.5832,,,
RBH,7.9757,41.829,64.0283,4.3625,101.6782,,,
RBK,-3.3891,-1.2158,6.68,-0.0254,18.8994,,,
RBT,0.8946,2.2111,3.4165,0.2662,7.0268,,,
RBV,1.0901,2.7068,4.5505,0.3798,8.3477,,,
SBS,-2.9968,1.9564,15.3828,1.2541,25.8629,,,
SKT,1.1401,3.0975,4.9413,0.4726,9.4526,52.7454,83.8078,
SLF,1.3302,3.5825,5.8944,0.4857,10.5904,56.4758,87.9181,
SPA,-13.0602,-10.9323,3.1225,-0.2894,24.5761,,,
SPD,-4.848,0.3738,14.7099,-0.9722,33.1519,,,
SPE,-4.0833,1.4685,18.4447,0.3076,34.1051,,,
SPG,1.6815,5.2366,12.496,0.2168,23.3861,,,
SPN,1.7699,4.3969,7.7381,0.9083,22.3255,,,
SRO,14.244,34.7119,32.7131,6.2102,47.4362,,,
SRY,-4.8004,-0.3322,12.0808,-0.1175,28.6673,,,
SSO,1.5757,4.2924,7.1048,0.6525,12.2284,66.2006,,
ST1,16.2546,30.9812,44.3453,4.9625,54.2478,151.3045,236.1811,
STS,-3.3507,1.4917,14.8605,0.6386,27.3594,,,
STZ,9.7289,30.6547,57.2112,5.3556,7.4272,,,
SUA,2.4927,6.8697,10.9697,1.5831,21.0444,88.3479,168.5817,
SUB,1.3779,3.1039,5.5763,0.7839,10.7109,36.1107,34.8256,
SUC,3.5192,9.7238,14.4394,1.5905,26.5325,88.1925,138.2426,
TAO,4.6732,10.3224,16.011,1.7822,21.7853,80.4241,142.4314,
TBT,0.7808,1.7536,1.4045,0.3572,7.3338,47.6909,71.4355,
TCA,-5.3811,-8.8824,8.683,-2.9819,44.8308,155.0737,272.016,
TCC,-5.3314,-5.6371,9.7189,0.5505,29.8959,114.8739,180.989,
TCI,1.8516,5.4763,9.7878,0.8416,18.5543,,,
TCS,10.8483,28.9517,48.6834,4.0204,73.0212,,,
TDB,-2.8544,0.5968,12.4329,0,29.2644,,,
TDP,-4.8709,-4.7447,8.3352,-0.0458,27.7406,,,
TDT,0,0,5.5533,0,23.2932,,,
TE3,1.1637,3.3832,7.5301,0.4871,13.3139,56.5318,108.0687,
TFF,-2.8095,1.2704,25.0819,0.0634,41.6446,137.7801,,
TGA,1.1454,2.4066,6.3285,1.3578,10.6981,67.3618,119.0698,
TGT,0.9787,2.5749,3.868,0.4341,7.8996,49.0985,79.1351,
TI1,1.2294,3.269,5.3735,0.4425,9.5158,56.1733,91.5308,
TIP,-4.0815,-2.3173,11.0899,0.2816,26.5234,,,
TIV,0.6949,2.2877,3.9002,0.3878,7.539,49.0724,78.2085,
TKD,1.2058,3.3638,6.2672,0.5543,12.3205,70.8257,104.7331,
TKM,1.27,3.5073,5.7821,0.4682,9.9477,55.5002,89.3857,
TLZ,9.7117,24.9933,23.5943,4.8437,20.4048,,,
TMO,2.2206,5.7147,9.226,0.6318,15.0237,68.0867,112.0628,
TNI,2.1413,5.6401,11.0897,0.7632,17.9854,,,
TNK,0.9444,2.4526,4.0065,0.4189,8.0005,49.6107,78.9664,
TOT,0.9567,2.3524,4.5616,0.4077,9.5844,59.0215,97.0314,
TPC,2.2908,4.7258,15.2342,1.4513,22.6804,,,
TPJ,-3.545,-0.8693,12.8997,0.0648,28.9531,,,
TPL,-5.0454,-2.015,11.8203,-0.3898,24.4601,107.2436,,
TPP,6.4022,12.2013,29.8008,0,56.0756,,,
TPZ,-5.7283,-4.0069,10.6868,-0.2161,27.7886,151.2939,,
TSI,0.8626,2.513,4.0994,0.4211,7.9186,50.0483,79.2391,
TSP,-11.8926,-5.2172,7.9708,-4.6117,20.3428,,,
TUA,-5.4852,-8.8702,7.9883,-3.0773,44.5541,151.0149,264.7525,
TVD,0,0,4.6544,0,21.888,,,
TYH,10.775,29.9968,31.2295,4.8892,30.6452,66.6321,179.9686,
TZC,4.5336,11.487,15.3226,1.9539,19.2115,62.8137,127.5467,
TZD,9.4741,21.0846,24.7452,4.3082,24.0402,43.7635,143.4506,
TZL,1.3177,3.5115,5.8213,0.4779,10.2966,57.6367,94.6342,
TZT,1.1415,3.296,4.029,0.4104,9.3541,56.7922,92.1242,
TZV,1.0433,2.7493,4.7084,0.4253,9.2557,52.6329,83.8577,
UPD,-6.0832,-2.8177,10.3554,-0.7966,25.678,104.9377,,
UPH,14.9854,44.1632,52.1574,7.6452,62.706,,,
UPP,1.3428,3.6745,6.1061,0.4771,10.9132,,,
UPS,-5.7789,-2.3368,9.85,-0.7716,26.559,,,
USY,-4.1598,-1.0496,1.6767,0.2089,7.4297,,,
VEB,1.446,3.3452,4.3962,0.2398,14.1074,69.4134,104.7736,
VED,1.4341,3.5907,4.6788,0.4056,10.0531,53.4186,,
VEE,6.0736,18.7047,19.6411,2.379,18.9606,61.979,117.2111,
VEG,0,0,0,0,0,0,0,
VEH,10.2944,29.8264,31.177,4.2668,26.1496,47.66,133.1981,
VEI,2.2125,7.5379,6.3694,-0.096,8.274,46.0771,79.2331,
VEK,2.3075,7.2064,6.8433,0.2488,10.8801,66.7341,100.1296,
VEL,1.2782,3.3977,5.6128,0.4388,10.3457,59.4633,96.5537,
VEO,6.2936,18.3358,25.3887,2.2883,53.3191,93.4339,,
VEP,1.264,3.3667,5.922,0.4637,12.3922,53.1157,,
VER,2.613,7.2808,9.4306,0.6367,21.1993,73.9015,106.7685,
VES,1.7124,3.89,5.6092,0.7758,1.8494,54.1722,109.0976,
VET,-4.219,2.2863,18.8442,-1.927,33.4442,112.3661,174.7658,
VEU,1.2119,3.1633,5.3013,0.4519,10.5658,57.229,94.9571,
VEV,4.8608,12.0682,15.1347,2.1494,18.2956,61.0646,,
VEY,4.9452,13.9615,18.6256,1.927,38.8915,99.7004,146.3901,
VGA,-24.483,-26.2672,-10.7559,-21.5835,20.3781,116.081,219.0657,
VGB,3.6062,9.2369,10.5029,1.1327,23.0573,74.8877,102.576,
VGC,6.3927,16.5639,20.4007,2.792,25.0018,69.5644,,
VGD,1.077,2.9214,2.8098,0.0374,8.9784,50.5939,82.6085,
VGE,6.2953,15.8788,15.5896,1.9522,17.2009,56.1315,121.194,
VGF,8.3158,21.5825,26.7346,3.5746,27.7335,38.967,,
VGG,1.2302,2.9388,4.9534,0.3743,13.9758,55.4423,,
VGH,4.7928,13.2358,18.1148,1.9204,37.4774,82.2602,,
VGK,2.174,4.7524,6.1599,0.6523,13.6948,62.6069,,
VGP,4.6776,2.2173,9.0465,3.2038,22.6281,70.6845,,
VGT,2.2163,4.353,6.0834,1.2485,16.8765,78.4166,,
VGY,1.7175,7.4204,13.2738,1.0156,19.1426,68.283,,
VGZ,2.5065,6.1914,7.1453,1.0461,12.4643,57.073,,
VK6,1.3268,3.5295,5.8736,0.484,10.3483,57.6917,92.7164,
VKE,1.3184,3.5105,5.8457,0.4614,10.4004,54.9918,,
VKJ,1.2819,3.3102,5.6054,0.4697,10.4673,57.2671,,
VKT,1.0907,2.9398,5.0085,0.4343,9.6011,54.5936,87.1924,
VVA,8.4199,23.0979,25.6834,3.8408,25.0173,60.0866,,
VVD,6.16,16.5202,18.5364,2.7498,20.9876,62.156,,
VVE,4.8176,12.2709,14.4398,2.0882,18.8736,60.4805,,
VVM,1.4174,3.7,5.6259,0.5179,11.2488,54.2213,,
VVU,4.8087,12.5405,19.1648,1.8746,38.1524,103.1532,,
VVZ,6.5796,17.8095,27.6216,2.6405,53.971,129.3085,,
VYB,9.2647,24.7533,36.0242,1.7923,81.8736,,,
YAK,3.9079,13.8383,20.081,2.0359,19.1184,45.0631,98.5314,
YAS,14.663,40.7219,50.5743,7.3186,52.0768,75.6014,153.9,
YBE,-3.5548,1.8407,17.1825,-1.4466,27.1712,104.9093,183.8423,
YBP,-1.0245,2.6822,10.2605,-0.513,17.4545,89.6041,138.9765,
YBS,1.0069,3.1111,5.6733,0.4241,10.3312,53.8489,88.3204,
YDI,11.3365,29.3436,35.0478,5.1908,47.8103,92.6065,201.6,
YDK,1.0224,2.5117,4.3202,0.4145,8.7359,50.7763,81.247,
YDP,1.5409,4.3879,8.0615,0.7782,14.6989,74.6511,124.6738,
YEF,7.7582,27.3057,23.9999,2.6105,12.6036,25.061,102.6112,
YFV,1.2111,2.5163,1.3317,0.3953,6.77,54.4586,78.268,
YHS,9.5733,25.2692,30.6158,5.2165,34.2225,52.353,144.8381,
YHT,0.9401,2.5283,4.2548,0.3707,8.2569,51.0069,81.6563,
YKS,7.0034,14.6971,19.6532,0,29.6611,,,
YKT,-5.3449,-8.7376,8.9174,-3.0769,46.605,156.3093,270.5495,
YLB,1.296,3.4637,5.6821,0.4597,9.8859,56.1586,91.5694,
YMM,-2.5898,-0.0035,11.417,0,29.005,,,
YOA,-4.6705,-1.0802,14.6986,-0.4885,30.7085,128.3952,,
YOT,0.9604,2.4139,3.5812,0.2265,8.1276,53.9834,83.5443,
YPF,2.7257,3.3056,10.1888,0,24.3567,,,
YPK,2.1373,6.0818,13.3411,0,20.509,,,
YPL,-4.3746,-3.8849,8.6514,-0.4358,27.0766,,,
YPP,14.4939,29.8537,25.9374,0,34.1053,,,
YRF,-3.0984,-1.376,9.7289,0,27.5139,,,
YRO,-3.3508,-1.8381,9.4787,0,27.6607,,,
YSF,1.1818,3.3571,7.8422,0,21.7444,,,
YSU,2.6467,7.1673,8.729,0.9136,10.5751,56.1647,88.4818,
ZBD,2.3904,7.668,9.6974,0.8962,6.6599,51.8256,86.868,
ZEB,1.2626,3.3564,5.6903,0.4555,10.5923,57.6573,,
ZEK,1.3224,3.4763,5.7498,0.4704,10.3319,54.8908,,
ZHA,3.589,9.0302,10.5574,1.2143,22.9878,73.4924,105.2943,
ZHB,10.3219,29.953,31.8235,4.3102,26.3396,50.9114,153.8282,
ZHC,1.9823,5.3427,6.2286,0.5501,11.4482,54.751,,
ZHD,-3.746,2.7151,19.5581,-1.5162,34.8431,112.3025,182.8758,
ZHE,4.2989,14.03,13.2421,1.5867,13.6025,54.8891,102.1019,
ZHF,1.3117,3.2962,5.0564,0.3187,14.518,70.9478,115.1719,
ZHG,0.9415,2.8735,2.3393,-0.1255,7.1954,39.7609,62.8216,
ZHI,1.9545,4.5597,6.0401,0.6225,14.1828,62.5871,,
ZHK,2.2059,7.5256,6.3704,-0.0904,8.308,55.3015,88.8009,
ZHM,8.2064,21.7103,26.8603,3.566,28.7032,61.9762,,
ZHN,-6.4254,-8.6473,10.6665,-3.0127,49.2005,168.2574,296.4608,
ZHP,6.2631,18.1104,24.8325,2.3088,52.8892,120.5118,,
ZHR,1.2702,3.3865,5.5971,0.4382,10.2706,59.5534,96.971,
ZHS,2.6446,7.2017,6.6107,0.5198,9.5448,54.0283,85.6427,
ZHT,2.5583,7.3796,9.5032,0.6618,21.2066,79.575,119.0714,
ZHU,6.3824,16.3336,19.991,2.8155,23.117,62.9945,,
ZHV,4.6773,12.9807,17.7122,1.8911,37.1247,103.4521,,
ZHY,4.7791,12.0029,15.1436,2.1293,18.4983,70.429,,
ZHZ,1.0986,3.0804,5.2345,0.4092,10.4049,53.9227,,
ZPC,2.421,6.5681,11.2494,1.052,22.5826,82.6447,124.6405,
ZPE,11.0565,29.6607,38.1048,3.6307,71.467,129.5414,238.5113,
ZPF,-5.5222,-4.0871,9.8435,-0.2461,26.6338,118.0168,184.7904,
ZPG,0.3113,1.0624,1.6001,-0.0987,7.8485,56.6212,88.3866,
ZPK,1.0998,2.7107,4.3282,0.4278,8.7512,53.5846,,
